TIMESTAMP,solar_TIMESTAMP,AUT_PAT_FOR_Pce_Js_1,AUT_PAT_FOR_Pce_Js_2,AUT_PAT_FOR_Pce_Js_3
2007-05-07T12:00:00Z,2007-05-07T12:49:05Z,4.821095221528596e-6,3.370997450835815e-5,3.113379012005307e-5
2007-05-07T12:30:00Z,2007-05-07T13:19:05Z,1.1342247047083448e-5,3.370997450835815e-5,3.113379012005307e-5
2007-05-07T13:00:00Z,2007-05-07T13:49:05Z,1.1342247047083448e-5,2.6880060308317578e-5,3.113379012005307e-5
2007-05-07T13:30:00Z,2007-05-07T14:19:05Z,1.1342247047083448e-5,2.6880060308317578e-5,3.113379012005307e-5
2007-05-07T14:00:00Z,2007-05-07T14:49:05Z,1.1342247047083448e-5,2.6880060308317578e-5,3.113379012005307e-5
2007-05-07T14:30:00Z,2007-05-07T15:19:05Z,1.1342247047083448e-5,2.6880060308317578e-5,3.113379012005307e-5
2007-05-07T15:00:00Z,2007-05-07T15:49:05Z,1.1342247047083448e-5,2.6880060308317578e-5,3.113379012005307e-5
2007-05-07T15:30:00Z,2007-05-07T16:19:05Z,1.1342247047083448e-5,2.0383525918705315e-5,3.113379012005307e-5
2007-05-07T16:00:00Z,2007-05-07T16:49:05Z,1.1342247047083448e-5,2.0383525918705315e-5,3.113379012005307e-5
2007-05-07T16:30:00Z,2007-05-07T17:19:05Z,1.1342247047083448e-5,2.0383525918705315e-5,3.113379012005307e-5
2007-05-07T17:00:00Z,2007-05-07T17:49:05Z,1.872641875637105e-5,2.0383525918705315e-5,3.113379012005307e-5
2007-05-07T17:30:00Z,2007-05-07T18:19:05Z,1.872641875637105e-5,2.0383525918705315e-5,3.113379012005307e-5
2007-05-07T18:00:00Z,2007-05-07T18:49:05Z,1.872641875637105e-5,2.0383525918705315e-5,3.113379012005307e-5
2007-05-07T18:30:00Z,2007-05-07T19:19:05Z,1.872641875637105e-5,2.0383525918705315e-5,2.360435016618827e-5
2007-05-07T19:00:00Z,2007-05-07T19:49:05Z,1.872641875637105e-5,1.4276652429363505e-5,2.360435016618827e-5
2007-05-07T19:30:00Z,2007-05-07T20:19:05Z,1.872641875637105e-5,2.0383525918705315e-5,2.360435016618827e-5
2007-05-07T20:00:00Z,2007-05-07T20:49:05Z,2.674505100897252e-5,2.0383525918705315e-5,2.360435016618827e-5
2007-05-07T20:30:00Z,2007-05-07T21:19:05Z,2.674505100897252e-5,4.822522640430686e-5,2.360435016618827e-5
2007-05-07T21:00:00Z,2007-05-07T21:49:05Z,2.674505100897252e-5,5.586029618214178e-5,3.113379012005307e-5
2007-05-07T21:30:00Z,2007-05-07T22:19:05Z,2.674505100897252e-5,4.822522640430686e-5,3.113379012005307e-5
2007-05-07T22:00:00Z,2007-05-07T22:49:05Z,2.674505100897252e-5,4.083451169529729e-5,3.905255878680882e-5
2007-05-07T22:30:00Z,2007-05-07T23:19:05Z,2.674505100897252e-5,4.083451169529729e-5,3.905255878680882e-5
2007-05-07T23:00:00Z,2007-05-07T23:49:05Z,0,1.43611923624854e-5,1.0099810615179598e-5
2007-05-07T23:30:00Z,2007-05-08T00:19:07Z,0,1.43611923624854e-5,4.293385824784285e-6
2007-05-08T00:00:00Z,2007-05-08T00:49:07Z,0,1.43611923624854e-5,1.0099810615179598e-5
2007-05-08T00:30:00Z,2007-05-08T01:19:07Z,0,8.70093828180278e-6,1.0099810615179598e-5
2007-05-08T01:00:00Z,2007-05-08T01:49:07Z,0,8.70093828180278e-6,1.6673571354302755e-5
2007-05-08T01:30:00Z,2007-05-08T02:19:07Z,4.8651757077371555e-6,8.70093828180278e-6,1.0099810615179598e-5
2007-05-08T02:00:00Z,2007-05-08T02:49:07Z,0,8.70093828180278e-6,1.0099810615179598e-5
2007-05-08T02:30:00Z,2007-05-08T03:19:07Z,0,3.699503653912317e-6,1.0099810615179598e-5
2007-05-08T03:00:00Z,2007-05-08T03:49:07Z,0,3.699503653912317e-6,1.0099810615179598e-5
2007-05-08T03:30:00Z,2007-05-08T04:19:07Z,0,3.699503653912317e-6,1.0099810615179598e-5
2007-05-08T04:00:00Z,2007-05-08T04:49:07Z,0,3.699503653912317e-6,1.0099810615179598e-5
2007-05-08T04:30:00Z,2007-05-08T05:19:07Z,0,3.699503653912317e-6,1.0099810615179598e-5
2007-05-08T05:00:00Z,2007-05-08T05:49:07Z,0,3.699503653912317e-6,4.293385824784285e-6
2007-05-08T05:30:00Z,2007-05-08T06:19:07Z,0,0,4.293385824784285e-6
2007-05-08T06:00:00Z,2007-05-08T06:49:07Z,0,0,1.0099810615179598e-5
2007-05-08T06:30:00Z,2007-05-08T07:19:07Z,0,0,4.293385824784285e-6
2007-05-08T07:00:00Z,2007-05-08T07:49:07Z,0,0,1.0099810615179598e-5
2007-05-08T07:30:00Z,2007-05-08T08:19:07Z,4.8651757077371555e-6,0,4.293385824784285e-6
2007-05-08T08:00:00Z,2007-05-08T08:49:07Z,1.1446144989646935e-5,0,4.293385824784285e-6
2007-05-08T08:30:00Z,2007-05-08T09:19:07Z,3.5605154056631495e-5,3.699503653912317e-6,0
2007-05-08T09:00:00Z,2007-05-08T09:49:07Z,1.1759793587813621e-4,2.70397440609664e-5,1.0099810615179598e-5
2007-05-08T09:30:00Z,2007-05-08T10:19:07Z,2.8465635989359967e-4,5.6194289052601e-5,3.140679470733899e-5
2007-05-08T10:00:00Z,2007-05-08T10:49:07Z,4.8393227799231115e-4,8.907492525530058e-5,5.6384116969367895e-5
2007-05-08T10:30:00Z,2007-05-08T11:19:07Z,5.511492919697903e-4,1.2493037975042567e-4,9.370535202454096e-5
2007-05-08T11:00:00Z,2007-05-08T11:49:07Z,5.85773747530506e-4,1.3430835543554303e-4,1.241533035645405e-4
2007-05-08T11:30:00Z,2007-05-08T12:19:07Z,6.936876789027013e-4,1.6336334457775178e-4,2.020855081135588e-4
2007-05-08T12:00:00Z,2007-05-08T12:49:07Z,9.483260678358669e-4,1.9372955999566812e-4,3.4135346643096213e-4
2007-05-08T12:30:00Z,2007-05-08T13:19:07Z,0.0013253724593173639,2.6931749365813844e-4,5.607301269915137e-4
2007-05-08T13:00:00Z,2007-05-08T13:49:07Z,0.00170189103750385,3.8795506576325405e-4,7.770495003678541e-4
2007-05-08T13:30:00Z,2007-05-08T14:19:07Z,0.0018370885326633207,4.91388139926964e-4,8.667129566810373e-4
2007-05-08T14:00:00Z,2007-05-08T14:49:07Z,0.0018370885326633207,5.320781979867535e-4,8.850808650607359e-4
2007-05-08T14:30:00Z,2007-05-08T15:19:07Z,0.001623148475683794,5.048369265963015e-4,8.304133133140686e-4
2007-05-08T15:00:00Z,2007-05-08T15:49:07Z,0.0013731329508850862,4.517316673656744e-4,7.4219417473511e-4
2007-05-08T15:30:00Z,2007-05-08T16:19:07Z,0.0011864518825660134,4.0047689964222235e-4,6.410692428659864e-4
2007-05-08T16:00:00Z,2007-05-08T16:49:07Z,0.0010974116275947999,3.6326495929048805e-4,6.085048568347624e-4
2007-05-08T16:30:00Z,2007-05-08T17:19:07Z,0.0010539470523717803,3.390501655568492e-4,5.924369830511178e-4
2007-05-08T17:00:00Z,2007-05-08T17:49:07Z,9.691049416545604e-4,3.036314014536346e-4,5.450913520879185e-4
2007-05-08T17:30:00Z,2007-05-08T18:19:07Z,8.469982964888723e-4,2.6931749365813844e-4,4.6905170488524767e-4
2007-05-08T18:00:00Z,2007-05-08T18:49:07Z,6.75281730764996e-4,2.146664533610771e-4,3.966337551867452e-4
2007-05-08T18:30:00Z,2007-05-08T19:19:07Z,5.004815516969713e-4,1.6336334457775178e-4,3.1461638299819006e-4
2007-05-08T19:00:00Z,2007-05-08T19:49:07Z,3.7291142831674646e-4,1.1571280823862798e-4,2.3813760077268995e-4
2007-05-08T19:30:00Z,2007-05-08T20:19:07Z,2.9890874200511725e-4,8.055515008706008e-5,1.9040780804700143e-4
2007-05-08T20:00:00Z,2007-05-08T20:49:07Z,2.430325295305226e-4,5.6194289052601e-5,1.5643857187447636e-4
2007-05-08T20:30:00Z,2007-05-08T21:19:07Z,2.0316650431938303e-4,4.8513102544646454e-5,1.4548328415913198e-4
2007-05-08T21:00:00Z,2007-05-08T21:49:07Z,1.7761202431804877e-4,2.70397440609664e-5,1.3471967464984334e-4
2007-05-08T21:30:00Z,2007-05-08T22:19:07Z,1.5291820233241614e-4,2.70397440609664e-5,1.241533035645405e-4
2007-05-08T22:00:00Z,2007-05-08T22:49:07Z,1.2913217333956564e-4,2.050442186868624e-5,1.0363839798945683e-4
2007-05-08T22:30:00Z,2007-05-08T23:19:07Z,1.0631488035965613e-4,1.43611923624854e-5,7.45365349801951e-5
2007-05-08T23:00:00Z,2007-05-08T23:49:07Z,2.7431289060474045e-5,2.0463979129266073e-5,2.4073880216758925e-5
2007-05-08T23:30:00Z,2007-05-09T00:19:09Z,1.920600195035868e-5,2.0463979129266073e-5,2.4073880216758925e-5
2007-05-09T00:00:00Z,2007-05-09T00:49:09Z,1.1632173432114474e-5,1.4332911787370048e-5,2.4073880216758925e-5
