TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1996-03-05T23:00:00Z,1996-03-05T21:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T23:59:59Z,1996-03-05T22:47:08Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T01:00:00Z,1996-03-05T23:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T02:00:00Z,1996-03-06T00:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T03:00:00Z,1996-03-06T01:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T04:00:00Z,1996-03-06T02:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T05:00:00Z,1996-03-06T03:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T06:00:00Z,1996-03-06T04:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T07:00:00Z,1996-03-06T05:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T08:00:00Z,1996-03-06T06:47:24Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T09:00:00Z,1996-03-06T07:47:24Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T10:00:00Z,1996-03-06T08:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T11:00:00Z,1996-03-06T09:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T12:00:00Z,1996-03-06T10:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T13:00:00Z,1996-03-06T11:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T14:00:00Z,1996-03-06T12:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T15:00:00Z,1996-03-06T13:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T16:00:00Z,1996-03-06T14:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T17:00:00Z,1996-03-06T15:47:24Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T18:00:00Z,1996-03-06T16:47:24Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T19:00:00Z,1996-03-06T17:47:24Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T20:00:00Z,1996-03-06T18:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T21:00:00Z,1996-03-06T19:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T22:00:00Z,1996-03-06T20:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-06T23:00:00Z,1996-03-06T21:47:24Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
