TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8
2003-05-26T16:30:00Z,2003-05-26T16:13:11Z,0.00561986552787191,0.0015782623541460575,0.0070093606019485015,0.01114368825944383,0.0035835615451513484,0.007684791253624462,0.00562783487832972,0.0045573787391720195
2003-05-26T16:45:00Z,2003-05-26T16:28:11Z,0.005794297747824265,0.0016459521853369834,0.006888453771868925,0.01160887683262126,0.003600783668603669,0.00839990395964758,0.006226204400771176,0.004938255127790734
2003-05-26T17:00:00Z,2003-05-26T16:43:11Z,0.00572226928920192,0.0016155669680818386,0.006000791653589787,0.010626410541978916,0.004033941663716343,0.008073315950322976,0.0055382128098245996,0.004401455401797871
2003-05-26T17:15:00Z,2003-05-26T16:58:11Z,0.00541480884429965,0.0014876709934854232,0.005354191791612106,0.010029926148021414,0.0041584091740459175,0.006869465620097829,0.004927672337814094,0.003992575916759942
2003-05-26T17:30:00Z,2003-05-26T17:13:11Z,0.004937317120909607,0.0013435185062351334,0.0046173759857846535,0.008531076233789809,0.0035042817573019444,0.006237531165108422,0.004106710374607451,0.0031922370131318117
2003-05-26T17:45:00Z,2003-05-26T17:28:11Z,0.004436644966331518,0.0011029338776254367,0.0037364746218737656,0.007261924158398263,0.0031734454794854305,0.00598420067612191,0.003562691857740491,0.002614783923172042
2003-05-26T18:00:00Z,2003-05-26T17:43:11Z,0.003815280044360868,9.8648396674779e-4,0.003408940180721173,0.006514023021178583,0.0026768871652211295,0.005599982776852716,0.0032745734689919865,0.0022919015653575458
2003-05-26T18:15:00Z,2003-05-26T17:58:11Z,0.0035577762666040395,9.157809736725442e-4,0.003192185991047083,0.0061550308393083005,0.002222072795216665,0.005227641162944324,0.0030147380659028052,0.002101884748016285
2003-05-26T18:30:00Z,2003-05-26T18:13:11Z,0.003306791526030176,8.095420544212015e-4,0.0029286459618612626,0.0057185500258322905,0.002198369896352408,0.005029263501673904,0.0026744371726636867,0.001907328676438669
2003-05-26T18:45:00Z,2003-05-26T18:28:11Z,0.003049169035666766,6.986966752277868e-4,0.0026497511175913287,0.005005335203437728,0.0018537575752684526,0.004660368596597208,0.0024093191360394983,0.0016871810209381918
2003-05-26T19:00:00Z,2003-05-26T18:43:11Z,0.0028252291127755396,6.916470022246654e-4,0.002849054013665396,0.004522986140516151,0.0015844449658939349,0.004443115109240194,0.002432600073368846,0.0016080658803284487
2003-05-26T19:15:00Z,2003-05-26T18:58:11Z,0.002612936457356012,5.910059989436867e-4,0.0025520758860967277,0.0038081641076315523,0.0016804372342185592,0.004320421443547035,0.0022347486044547783,0.0014429972026843033
2003-05-26T19:30:00Z,2003-05-26T19:13:11Z,0.0022874724455660207,5.627751340393408e-4,0.0023219622686638662,0.0030557022649552257,0.0012619927329560476,0.0036723778660265956,0.002049642446601565,0.0012554677285694642
2003-05-26T19:45:00Z,2003-05-26T19:28:11Z,0.0020842805097435794,4.8031615752331796e-4,0.0019671203829623395,0.0025894422667270696,0.001040762213249389,0.003273998422656405,0.0017683604538993253,0.0010659938302107644
2003-05-26T20:00:00Z,2003-05-26T19:43:11Z,0.00182505607280156,4.004559527238942e-4,0.0016673260603270873,0.0021192953240400975,0.0010245632339752112,0.002758702797469057,0.0016064113363412167,9.896230749688916e-4
2003-05-26T20:15:00Z,2003-05-26T19:58:11Z,0.001630613087419789,3.501425979926921e-4,0.0014338237607543086,0.0017131770767631301,8.938769065567121e-4,0.0027539817008380247,0.0013734281650038323,7.719139522056942e-4
2003-05-26T20:30:00Z,2003-05-26T20:13:11Z,0.0014878030698082657,3.3239167226647157e-4,0.0013006344495743662,0.001547051488975695,7.302315152553334e-4,0.0023163054758815233,0.0012883705529292831,7.931562183715354e-4
2003-05-26T20:45:00Z,2003-05-26T20:28:11Z,0.0012240112047741415,3.0987026330779095e-4,0.0010913781476349575,0.001277554952468027,6.509270576394754e-4,0.0018999315204301457,0.0011458974658180654,7.994489628032693e-4
2003-05-26T21:00:00Z,2003-05-26T20:43:11Z,0.0012271691124054864,2.31993340875149e-4,0.0010085589137663155,0.0011386814330715687,5.918836164293462e-4,0.0018512402434404122,9.936108323810831e-4,6.39652282100633e-4
2003-05-26T21:15:00Z,2003-05-26T20:58:11Z,0.0011250776430709471,2.1438582619853037e-4,8.887212770294459e-4,9.681564775859961e-4,5.03381947715244e-4,0.001840689249546576,6.481705221538886e-4,4.45144290155184e-4
2003-05-26T21:30:00Z,2003-05-26T21:13:11Z,0.0010107807015570277,1.6329105352579887e-4,7.267258160252325e-4,8.436973706421913e-4,4.519802418879424e-4,0.0014677801310537845,6.807271127333734e-4,5.268707694142574e-4
2003-05-26T21:45:00Z,2003-05-26T21:28:11Z,9.308613464271802e-4,1.649964247945204e-4,6.411288157058979e-4,7.348606349592143e-4,5.214183303716971e-4,0.001231835417301852,5.459411311653692e-4,5.027760155007755e-4
2003-05-26T22:00:00Z,2003-05-26T21:43:11Z,8.570893036819804e-4,1.1135245847194356e-4,5.2952022134537e-4,6.048990092527369e-4,4.1402618188081185e-4,0.0011944572329355215,3.9247239994420123e-4,4.6480184952649866e-4
2003-05-26T22:15:00Z,2003-05-26T21:58:11Z,7.802144064990704e-4,1.1590526254325214e-4,4.64951874938111e-4,5.758213798815827e-4,3.685960948287451e-4,0.0011158403592669605,2.6426031019738974e-4,5.793160786291529e-4
2003-05-26T22:30:00Z,2003-05-26T22:13:11Z,7.006569242867138e-4,1.0035976625225904e-4,3.9466957795590096e-4,4.756498339187864e-4,3.2354792839027035e-4,8.634168405539941e-4,2.8955542540640817e-4,3.6407984330709897e-4
2003-05-26T22:45:00Z,2003-05-26T22:28:11Z,5.72562926952945e-4,7.260555524579638e-5,3.4886461536241424e-4,4.1126171824729725e-4,2.3577462437022578e-4,8.869407011220391e-4,3.572732891117374e-4,3.194102960705822e-4
2003-05-26T23:00:00Z,2003-05-26T22:43:11Z,5.913351996530453e-4,1.2164875093378389e-4,4.7491252763415823e-4,4.1698122196668453e-4,1.4708086681209254e-4,9.158072817198379e-4,4.293719240632776e-4,3.070440169259655e-4
2003-05-26T23:15:00Z,2003-05-26T22:58:11Z,6.324966335823174e-4,1.2881960052391956e-4,4.930713821668413e-4,3.3344244178001923e-4,1.8792794149057824e-4,8.12329357979317e-4,4.4537603416877424e-4,2.4044067071241624e-4
