TIMESTAMP,solar_TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15
2001-04-19T05:30:00Z,2001-04-19T05:15:50Z,1.6839180512847365e-4,1.5388404620697146e-4,2.084354332609655e-4,3.9870423382780504e-5,7.555982716478709e-5,4.7135742758078806e-6,5.515127458624199e-5,8.935864778481713e-5,1.7344391578921745e-4,0,0,0,0,0,0
2001-04-19T06:00:00Z,2001-04-19T05:45:50Z,1.6839180512847365e-4,1.584058456072583e-4,2.177537722215943e-4,3.9870423382780504e-5,7.555982716478709e-5,4.7135742758078806e-6,5.515127458624199e-5,9.297430396988012e-5,1.7710242953126198e-4,0,0,0,0,0,0
2001-04-19T06:30:00Z,2001-04-19T06:15:50Z,2.175701286950291e-4,1.6753713013314863e-4,2.177537722215943e-4,3.9870423382780504e-5,7.555982716478709e-5,2.860934813591086e-6,5.8599796152977135e-5,9.297430396988012e-5,1.7710242953126198e-4,0,0,0,0,0,0
2001-04-19T07:00:00Z,2001-04-19T06:45:50Z,2.5989744796800284e-4,1.584058456072583e-4,2.0381252144702265e-4,2.6877118534586e-5,6.398332895988864e-5,1.2189644530059962e-6,5.8599796152977135e-5,9.662010374270375e-5,1.6257447426849253e-4,0,0,0,0,0,0
2001-04-19T07:30:00Z,2001-04-19T07:15:50Z,3.0898710629057203e-4,1.7214595241190353e-4,2.224488161620945e-4,2.6877118534586e-5,6.398332895988864e-5,0,6.562169921828553e-5,9.662010374270375e-5,0.00015898720869641003,0,0,0,0,0,0
2001-04-19T08:00:00Z,2001-04-19T07:45:50Z,3.039838946801707e-4,1.9086200142229826e-4,2.657495302505212e-4,4.9052382686117276e-5,8.349206417315375e-5,0,7.28022638188243e-5,1.0029549952481401e-4,1.8447163210798817e-4,0,0,0,0,0,0
2001-04-19T08:30:00Z,2001-04-19T08:15:50Z,3.6535951260743544e-4,2.197489400479433e-4,3.1085732769516787e-4,8.384695338540656e-5,1.0401546549846756e-4,2.860934813591086e-6,8.760781169179488e-5,1.1149422504378714e-4,2.069870998966235e-4,0,0,0,0,0,0
2001-04-19T09:00:00Z,2001-04-19T08:45:50Z,3.6535951260743544e-4,2.3454452248549234e-4,3.524005660997969e-4,1.1640509413614297e-4,1.2984067335488082e-4,8.845552337048276e-6,9.907526976756051e-5,1.3070735269861148e-4,2.3400165927993865e-4,0,0,0,0,0,0
2001-04-19T09:30:00Z,2001-04-19T09:15:50Z,3.8115058201250397e-4,2.699440475042321e-4,4.449941660804797e-4,1.630805966219277e-4,1.614643545908065e-4,1.826891799583639e-5,1.2286934800850803e-4,1.3857560410495524e-4,2.7800004188137774e-4,0,0,0,0,0,0
2001-04-19T10:00:00Z,2001-04-19T09:45:50Z,3.292045996096097e-4,3.4424551677296396e-4,5.974032545408547e-4,2.7955938611341454e-4,2.290265676924307e-4,4.307672479643507e-5,1.691775523025258e-4,1.627744086855986e-4,3.669283251445427e-4,0,0,0,0,0,0
