TIMESTAMP,solar_TIMESTAMP,FIN_PET_Bpu_Js_1,FIN_PET_Bpu_Js_2,FIN_PET_Bpu_Js_3,FIN_PET_Bpu_Js_4,FIN_PET_Bpu_Js_5,FIN_PET_Bpu_Js_6,FIN_PET_Bpu_Js_7
2008-06-19T03:30:00Z,2008-06-19T05:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T04:00:00Z,2008-06-19T05:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T04:30:00Z,2008-06-19T06:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T05:00:00Z,2008-06-19T06:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T05:30:00Z,2008-06-19T07:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T06:00:00Z,2008-06-19T07:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T06:30:00Z,2008-06-19T08:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T07:00:00Z,2008-06-19T08:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T07:30:00Z,2008-06-19T09:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T08:00:00Z,2008-06-19T09:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T08:30:00Z,2008-06-19T10:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T11:00:00Z,2008-06-19T12:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T11:30:00Z,2008-06-19T13:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T12:00:00Z,2008-06-19T13:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T12:30:00Z,2008-06-19T14:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T13:00:00Z,2008-06-19T14:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T13:30:00Z,2008-06-19T15:16:57Z,NA,NA,NA,NA,NA,NA,NA
