scheme,cluster,level,name,location,rows,pct_of_cluster
pft,evergreen,location,IDN_JAM_OIL,1 site(s),4176,0.36
pft,missing,site,CRI_TAM_TOW,CRI_TAM_TOW,13919,100.0
pft,missing,location,CRI_TAM_TOW,1 site(s),13919,100.0
pft,mixed,site,USA_HIL,USA_HIL,61246,20.59
pft,mixed,site,GUF_GUY_GUY,GUF_GUY_GUY,36946,12.42
pft,mixed,site,ESP_CAN,ESP_CAN,31023,10.43
pft,mixed,site,USA_TNP,USA_TNO_TNP,30838,10.37
pft,mixed,site,USA_UMB_GIR,USA_UMB_GIR,28730,9.66
pft,mixed,site,USA_UMB_CON,USA_UMB_CON,25040,8.42
pft,mixed,site,USA_SIL_OAK,USA_SIL_OAK,23140,7.78
pft,mixed,site,USA_SYL_HL2,USA_SYL_HL2,22646,7.61
pft,mixed,site,SWE_NOR_ST5_REF,SWE_NOR,22237,7.48
pft,mixed,site,SWE_NOR_ST4_AFT,SWE_NOR,15573,5.24
pft,mixed,location,USA_HIL,1 site(s),61246,20.59
pft,mixed,location,SWE_NOR,2 site(s),37810,12.71
pft,mixed,location,GUF_GUY_GUY,1 site(s),36946,12.42
pft,mixed,location,ESP_CAN,1 site(s),31023,10.43
pft,mixed,location,USA_TNO_TNP,1 site(s),30838,10.37
pft,mixed,location,USA_UMB_GIR,1 site(s),28730,9.66
pft,mixed,location,USA_UMB_CON,1 site(s),25040,8.42
pft,mixed,location,USA_SIL_OAK,1 site(s),23140,7.78
pft,mixed,location,USA_SYL_HL2,1 site(s),22646,7.61
