TIMESTAMP,solar_TIMESTAMP,ESP_TIL_PIN_Psy_Js_1,ESP_TIL_PIN_Psy_Js_2,ESP_TIL_PIN_Psy_Js_3,ESP_TIL_PIN_Psy_Js_4,ESP_TIL_PIN_Psy_Js_5,ESP_TIL_PIN_Psy_Js_6,ESP_TIL_PIN_Psy_Js_7,ESP_TIL_PIN_Psy_Js_8,ESP_TIL_PIN_Psy_Js_9
2010-05-02T20:30:00Z,2010-05-02T20:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T20:44:59Z,2010-05-02T20:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T21:00:00Z,2010-05-02T21:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T21:15:00Z,2010-05-02T21:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T21:29:59Z,2010-05-02T21:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T21:45:00Z,2010-05-02T21:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T22:00:00Z,2010-05-02T22:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T22:14:59Z,2010-05-02T22:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T22:30:00Z,2010-05-02T22:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T22:45:00Z,2010-05-02T22:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T22:59:59Z,2010-05-02T23:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T23:15:00Z,2010-05-02T23:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T23:30:00Z,2010-05-02T23:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T23:44:59Z,2010-05-02T23:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T00:00:00Z,2010-05-03T00:07:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T00:15:00Z,2010-05-03T00:22:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T00:29:59Z,2010-05-03T00:37:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T00:45:00Z,2010-05-03T00:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T01:00:00Z,2010-05-03T01:07:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T01:14:59Z,2010-05-03T01:22:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T01:30:00Z,2010-05-03T01:37:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T01:45:00Z,2010-05-03T01:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T01:59:59Z,2010-05-03T02:07:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T02:15:00Z,2010-05-03T02:22:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T02:30:00Z,2010-05-03T02:37:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T02:44:59Z,2010-05-03T02:52:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T03:00:00Z,2010-05-03T03:07:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T03:15:00Z,2010-05-03T03:22:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T03:29:59Z,2010-05-03T03:37:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T03:45:00Z,2010-05-03T03:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T04:00:00Z,2010-05-03T04:07:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T04:14:59Z,2010-05-03T04:22:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T04:30:00Z,2010-05-03T04:37:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T04:45:00Z,2010-05-03T04:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T04:59:59Z,2010-05-03T05:07:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
