TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST2_Psy_Js_1,GBR_GUI_ST2_Psy_Js_2,GBR_GUI_ST2_Psy_Js_3,GBR_GUI_ST2_Psy_Js_4,GBR_GUI_ST2_Psy_Js_5,GBR_GUI_ST2_Psy_Js_6,GBR_GUI_ST2_Psy_Js_7,GBR_GUI_ST2_Psy_Js_8,GBR_GUI_ST2_Psy_Js_9
2003-05-06T13:45:00Z,2003-05-06T13:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T14:00:00Z,2003-05-06T13:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T14:15:00Z,2003-05-06T13:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T14:30:00Z,2003-05-06T14:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T14:45:00Z,2003-05-06T14:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T15:00:00Z,2003-05-06T14:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T15:15:00Z,2003-05-06T14:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T15:30:00Z,2003-05-06T15:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T15:45:00Z,2003-05-06T15:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T16:00:00Z,2003-05-06T15:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T16:15:00Z,2003-05-06T15:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T16:30:00Z,2003-05-06T16:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T16:45:00Z,2003-05-06T16:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T17:00:00Z,2003-05-06T16:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T17:15:00Z,2003-05-06T16:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T17:30:00Z,2003-05-06T17:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T17:45:00Z,2003-05-06T17:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T18:00:00Z,2003-05-06T17:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T18:15:00Z,2003-05-06T17:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T18:30:00Z,2003-05-06T18:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T18:45:00Z,2003-05-06T18:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T19:00:00Z,2003-05-06T18:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T19:15:00Z,2003-05-06T18:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T19:30:00Z,2003-05-06T19:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T19:45:00Z,2003-05-06T19:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T20:00:00Z,2003-05-06T19:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T20:15:00Z,2003-05-06T19:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T20:30:00Z,2003-05-06T20:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T20:45:00Z,2003-05-06T20:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T21:00:00Z,2003-05-06T20:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T21:15:00Z,2003-05-06T20:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T21:30:00Z,2003-05-06T21:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T21:45:00Z,2003-05-06T21:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T22:00:00Z,2003-05-06T21:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T22:15:00Z,2003-05-06T21:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T22:30:00Z,2003-05-06T22:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T22:45:00Z,2003-05-06T22:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T23:00:00Z,2003-05-06T22:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T23:15:00Z,2003-05-06T22:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T23:30:00Z,2003-05-06T23:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T23:45:00Z,2003-05-06T23:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T00:00:00Z,2003-05-06T23:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T00:15:00Z,2003-05-06T23:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T00:30:00Z,2003-05-07T00:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T00:45:00Z,2003-05-07T00:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T01:00:00Z,2003-05-07T00:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T01:15:00Z,2003-05-07T00:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T01:30:00Z,2003-05-07T01:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
