TIMESTAMP,solar_TIMESTAMP,ESP_TIL_OAK_Qil_Js_1,ESP_TIL_OAK_Qil_Js_2,ESP_TIL_OAK_Qil_Js_3,ESP_TIL_OAK_Qil_Js_4,ESP_TIL_OAK_Qil_Js_5,ESP_TIL_OAK_Qil_Js_6,ESP_TIL_OAK_Qil_Js_7,ESP_TIL_OAK_Qil_Js_8,ESP_TIL_OAK_Qil_Js_9,ESP_TIL_OAK_Qil_Js_10
2010-05-05T12:30:00Z,2010-05-05T12:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T12:45:00Z,2010-05-05T12:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T13:00:00Z,2010-05-05T13:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T13:15:00Z,2010-05-05T13:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T13:30:00Z,2010-05-05T13:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T13:45:00Z,2010-05-05T13:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T14:00:00Z,2010-05-05T14:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T14:15:00Z,2010-05-05T14:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T14:30:00Z,2010-05-05T14:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T14:45:00Z,2010-05-05T14:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T15:00:00Z,2010-05-05T15:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T15:15:00Z,2010-05-05T15:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T15:30:00Z,2010-05-05T15:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T15:45:00Z,2010-05-05T15:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T16:00:00Z,2010-05-05T16:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T16:15:00Z,2010-05-05T16:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T16:30:00Z,2010-05-05T16:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T16:45:00Z,2010-05-05T16:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T17:00:00Z,2010-05-05T17:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T17:15:00Z,2010-05-05T17:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T17:30:00Z,2010-05-05T17:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T17:45:00Z,2010-05-05T17:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T18:00:00Z,2010-05-05T18:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T18:15:00Z,2010-05-05T18:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T18:30:00Z,2010-05-05T18:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T18:45:00Z,2010-05-05T18:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T19:00:00Z,2010-05-05T19:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
