TIMESTAMP,TIMESTAMP_solar,USA_PAR_FER_Pta_Jt_1,USA_PAR_FER_Pta_Jt_2,USA_PAR_FER_Pta_Jt_3,USA_PAR_FER_Pta_Jt_4,USA_PAR_FER_Pta_Jt_5,USA_PAR_FER_Pta_Jt_6,USA_PAR_FER_Pta_Jt_7,USA_PAR_FER_Pta_Jt_8
2007-01-04T05:30:00Z,2007-01-04T00:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T06:00:00Z,2007-01-04T00:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T06:30:00Z,2007-01-04T01:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T07:00:00Z,2007-01-04T01:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T07:30:00Z,2007-01-04T02:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T08:00:00Z,2007-01-04T02:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T08:30:00Z,2007-01-04T03:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T09:00:00Z,2007-01-04T03:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T09:30:00Z,2007-01-04T04:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T10:00:00Z,2007-01-04T04:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T10:30:00Z,2007-01-04T05:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T11:00:00Z,2007-01-04T05:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T11:30:00Z,2007-01-04T06:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T12:00:00Z,2007-01-04T06:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T12:30:00Z,2007-01-04T07:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T13:00:00Z,2007-01-04T07:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T13:30:00Z,2007-01-04T08:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T14:00:00Z,2007-01-04T08:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T14:30:00Z,2007-01-04T09:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T15:00:00Z,2007-01-04T09:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T15:30:00Z,2007-01-04T10:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T16:00:00Z,2007-01-04T10:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T16:30:00Z,2007-01-04T11:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T17:00:00Z,2007-01-04T11:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T17:30:00Z,2007-01-04T12:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T18:00:00Z,2007-01-04T12:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T18:30:00Z,2007-01-04T13:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T19:00:00Z,2007-01-04T13:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T19:30:00Z,2007-01-04T14:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T20:00:00Z,2007-01-04T14:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T20:30:00Z,2007-01-04T15:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T21:00:00Z,2007-01-04T15:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T21:30:00Z,2007-01-04T16:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T22:00:00Z,2007-01-04T16:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T22:30:00Z,2007-01-04T17:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T23:00:00Z,2007-01-04T17:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T23:30:00Z,2007-01-04T18:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T00:00:00Z,2007-01-04T18:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T00:30:00Z,2007-01-04T19:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T01:00:00Z,2007-01-04T19:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T01:30:00Z,2007-01-04T20:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T02:00:00Z,2007-01-04T20:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T02:30:00Z,2007-01-04T21:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T03:00:00Z,2007-01-04T21:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T03:30:00Z,2007-01-04T22:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T04:00:00Z,2007-01-04T22:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T04:30:00Z,2007-01-04T23:17:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T05:00:00Z,2007-01-04T23:47:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T05:30:00Z,2007-01-05T00:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T06:00:00Z,2007-01-05T00:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T06:30:00Z,2007-01-05T01:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
