TIMESTAMP,solar_TIMESTAMP,USA_HIL_HF1_PRE_Pta_Js_1,USA_HIL_HF1_PRE_Pta_Js_2,USA_HIL_HF1_PRE_Pta_Js_3,USA_HIL_HF1_PRE_Pta_Js_4,USA_HIL_HF1_PRE_Pta_Js_5,USA_HIL_HF1_PRE_Lst_Js_6,USA_HIL_HF1_PRE_Lst_Js_7,USA_HIL_HF1_PRE_Lst_Js_8,USA_HIL_HF1_PRE_Lst_Js_9,USA_HIL_HF1_PRE_Lst_Js_10,USA_HIL_HF1_PRE_Aru_Js_11,USA_HIL_HF1_PRE_Aru_Js_12,USA_HIL_HF1_PRE_Aru_Js_13,USA_HIL_HF1_PRE_Aru_Js_14,USA_HIL_HF1_PRE_Aru_Js_15,USA_HIL_HF1_PRE_Qal_Js_16,USA_HIL_HF1_PRE_Qal_Js_17,USA_HIL_HF1_PRE_Qal_Js_18,USA_HIL_HF1_PRE_Qal_Js_19,USA_HIL_HF1_PRE_Qal_Js_20,USA_HIL_HF1_PRE_Ltu_Js_21,USA_HIL_HF1_PRE_Ltu_Js_22,USA_HIL_HF1_PRE_Ltu_Js_23,USA_HIL_HF1_PRE_Ltu_Js_24,USA_HIL_HF1_PRE_Ltu_Js_25
2010-06-17T22:50:00Z,2010-06-17T17:33:10Z,4.536261513126144,4.612384569630456,3.61953138419586,4.470455488364172,4.301607770428031,0.3225787792952515,0.8617468413789864,0.22279464364164586,2.4422437617327177,NA,3.0403134942704497,2.945536118389533,2.5347942869884847,3.425353862448438,4.380607570541148,0.922715322259968,NA,0.09479049080170356,NA,NA,2.5759134705239566,1.8517842921465504,1.0186717884454224,1.1464210453539168,1.2280376933610553
2010-06-17T23:00:00Z,2010-06-17T17:43:10Z,3.718297080260604,3.779381437090308,2.979601408999818,3.6654605124282362,3.5297579584590193,0.24873825754368972,0.7178815096447716,0.15122342838261096,2.162234778002136,NA,2.6863401468226824,2.629438191406904,2.243464679960046,3.022770501269748,3.8542124073609,0.8064631057468105,NA,0.05297827509398268,NA,NA,2.3490160230717394,1.5569412491143189,0.7591196244471048,0.8532898336635983,0.9133467456134484
2010-06-17T23:10:00Z,2010-06-17T17:53:10Z,3.2395734945839516,3.292102807572085,2.6027281412204903,3.19412071163628,3.077313352977766,0.2250729580149583,0.6061565738774843,0.11413297276504739,1.9226863781214873,NA,2.38454499583157,2.375517442401515,1.9943653433462711,2.6802579224911534,3.408624730460585,0.7237718328128581,NA,0.04021029967037112,NA,NA,2.165259228296353,1.3459008109666715,0.5582860139976984,0.6269240536403687,0.670634393004504
2010-06-17T23:20:00Z,2010-06-17T18:03:10Z,2.7266759852501483,2.770247976436062,2.1969494187106355,2.6889590685378635,2.591968672718935,0.20191994476881264,0.5166239081055732,0.10461287781826488,1.6920124170799284,NA,2.09484434779506,2.0901935680776287,1.7546135733204733,2.352114081102344,2.9837129832291853,0.6361330254758963,NA,0.017093934525771577,NA,NA,1.9511639136631473,1.143745577499582,0.3417696725422629,0.38335017888842754,0.4097851856873568
2010-06-17T23:30:00Z,2010-06-17T18:13:10Z,2.5245715102157624,2.5646745804689086,2.036468124248202,2.489851887197141,2.40054566472158,0.1572703259784984,0.4171175588338812,0.10697727494068632,1.4703364783892627,NA,1.8173058157955269,1.9715245649279387,1.5243268135558463,2.0383493599776275,2.5792682697884555,0.5687308573810704,NA,0.007274632182718824,NA,NA,1.8467536339981332,0.982290009011202,0.09930817163821896,0.11122596269344871,0.11878633532603375
2010-06-17T23:40:00Z,2010-06-17T18:23:10Z,2.163276844351553,2.1972662628050266,1.7487298650520764,2.1338416838287837,2.0580918432985476,0.1358481862384567,0.34820453615028335,0.07711137384410484,1.283896418527332,NA,1.5845502709114414,1.816691784118218,1.3307324269166927,1.7756785347839963,2.2421001360687622,0.5065600239602351,NA,0.007274632182718824,NA,NA,1.778129249816376,0.8274634274647944,0.15255518072003207,0.17092388495762567,0.18258266656061747
2010-06-17T23:50:00Z,2010-06-17T18:33:10Z,1.87188156715644,1.9010238828134474,1.515841968115836,1.8466380033662846,1.7816491184648182,0.11509124765126688,0.2914189181548243,0.07933818973887323,1.1551256042107967,NA,1.424153665868101,1.6286467012745183,1.1970681893092043,1.5949193782568758,2.0108392247650713,0.439495147364148,NA,0.007274632182718824,NA,NA,1.6100308388405375,0.7378831217835036,0.19448762580181977,0.21796276777906354,0.23286842857735773
2010-06-18T00:00:00Z,2010-06-17T18:43:10Z,1.6433288130516912,1.6687230944206823,1.3326512271366995,1.6213276221382258,1.5646679598984659,0.0950622450616627,0.24882813343877724,0.06188915305535436,1.005573466054195,NA,1.2382523585641547,1.446785666043739,1.0418832352465595,1.3856813543449007,1.7439360644497033,0.3938746621633308,NA,0.007274632182718824,NA,NA,1.5441869152447847,0.6224989882783788,0.1267626588601745,0.14200177681407564,0.15167178110906712
2010-06-18T00:10:00Z,2010-06-17T18:53:10Z,1.4717909763299988,1.4944039993774005,1.1948459904683857,1.45219652491104,1.4017225011456096,0.0950622450616627,0.19628569174449348,0.05766473995634663,0.8616242864109743,NA,1.0597104518696314,1.3058244180248653,0.8925645979644696,1.1849993005965984,1.4887631898070162,0.3494036976948234,NA,0.007274632182718824,NA,NA,1.4149177592188609,0.5666215914019584,0.04669074499053348,0.05227357855694832,0.05581316631447792
2010-06-18T00:20:00Z,2010-06-17T19:03:10Z,1.1906923738430593,1.2088083311499096,0.96842530194057,1.1749907636995283,1.1345276082709728,0.07584272768452176,0.1573268863943034,0.05349991405586472,0.7461218041666919,NA,0.9167381173140768,1.20279320519985,0.7727918734849643,1.0244953109813544,1.2852666911447603,0.3031024802677063,NA,0.007274632182718824,NA,NA,1.3831085205083844,0.4851922705140096,0.006413936408481024,0.007178198923118375,0.007662487972420583
