TIMESTAMP,TIMESTAMP_solar,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8
1998-03-29T02:00:00Z,1998-03-28T20:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T03:00:00Z,1998-03-28T21:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T04:00:00Z,1998-03-28T22:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T05:00:00Z,1998-03-28T23:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T06:00:00Z,1998-03-29T00:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T07:00:00Z,1998-03-29T01:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T08:00:00Z,1998-03-29T02:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T09:00:00Z,1998-03-29T03:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T10:00:00Z,1998-03-29T04:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T11:00:00Z,1998-03-29T05:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T12:00:00Z,1998-03-29T06:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T13:00:00Z,1998-03-29T07:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T14:00:00Z,1998-03-29T08:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T15:00:00Z,1998-03-29T09:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T16:00:00Z,1998-03-29T10:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T17:00:00Z,1998-03-29T11:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T18:00:00Z,1998-03-29T12:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T19:00:00Z,1998-03-29T13:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T20:00:00Z,1998-03-29T14:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T21:00:00Z,1998-03-29T15:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T22:00:00Z,1998-03-29T16:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T23:00:00Z,1998-03-29T17:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T00:00:00Z,1998-03-29T18:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T01:00:00Z,1998-03-29T19:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T02:00:00Z,1998-03-29T20:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T03:00:00Z,1998-03-29T21:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T04:00:00Z,1998-03-29T22:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T05:00:00Z,1998-03-29T23:36:43Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T06:00:00Z,1998-03-30T00:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T07:00:00Z,1998-03-30T01:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T08:00:00Z,1998-03-30T02:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T09:00:00Z,1998-03-30T03:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T10:00:00Z,1998-03-30T04:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T11:00:00Z,1998-03-30T05:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T12:00:00Z,1998-03-30T06:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T13:00:00Z,1998-03-30T07:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T14:00:00Z,1998-03-30T08:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T15:00:00Z,1998-03-30T09:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T16:00:00Z,1998-03-30T10:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T17:00:00Z,1998-03-30T11:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T18:00:00Z,1998-03-30T12:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T19:00:00Z,1998-03-30T13:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T20:00:00Z,1998-03-30T14:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T21:00:00Z,1998-03-30T15:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T22:00:00Z,1998-03-30T16:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-30T23:00:00Z,1998-03-30T17:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T00:00:00Z,1998-03-30T18:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T01:00:00Z,1998-03-30T19:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T02:00:00Z,1998-03-30T20:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T03:00:00Z,1998-03-30T21:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T04:00:00Z,1998-03-30T22:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T05:00:00Z,1998-03-30T23:37:01Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T06:00:00Z,1998-03-31T00:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T07:00:00Z,1998-03-31T01:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T08:00:00Z,1998-03-31T02:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T09:00:00Z,1998-03-31T03:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T10:00:00Z,1998-03-31T04:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T11:00:00Z,1998-03-31T05:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T12:00:00Z,1998-03-31T06:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T13:00:00Z,1998-03-31T07:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T14:00:00Z,1998-03-31T08:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T15:00:00Z,1998-03-31T09:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T16:00:00Z,1998-03-31T10:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T17:00:00Z,1998-03-31T11:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T18:00:00Z,1998-03-31T12:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T19:00:00Z,1998-03-31T13:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T20:00:00Z,1998-03-31T14:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T21:00:00Z,1998-03-31T15:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T22:00:00Z,1998-03-31T16:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31T23:00:00Z,1998-03-31T17:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T00:00:00Z,1998-03-31T18:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T01:00:00Z,1998-03-31T19:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T02:00:00Z,1998-03-31T20:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T03:00:00Z,1998-03-31T21:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T04:00:00Z,1998-03-31T22:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T05:00:00Z,1998-03-31T23:37:20Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T06:00:00Z,1998-04-01T00:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T07:00:00Z,1998-04-01T01:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T08:00:00Z,1998-04-01T02:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T09:00:00Z,1998-04-01T03:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T10:00:00Z,1998-04-01T04:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T11:00:00Z,1998-04-01T05:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T12:00:00Z,1998-04-01T06:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T13:00:00Z,1998-04-01T07:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T14:00:00Z,1998-04-01T08:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T15:00:00Z,1998-04-01T09:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T16:00:00Z,1998-04-01T10:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T17:00:00Z,1998-04-01T11:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T18:00:00Z,1998-04-01T12:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T19:00:00Z,1998-04-01T13:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T20:00:00Z,1998-04-01T14:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T21:00:00Z,1998-04-01T15:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T22:00:00Z,1998-04-01T16:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-01T23:00:00Z,1998-04-01T17:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T00:00:00Z,1998-04-01T18:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T01:00:00Z,1998-04-01T19:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T02:00:00Z,1998-04-01T20:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T03:00:00Z,1998-04-01T21:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T04:00:00Z,1998-04-01T22:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T05:00:00Z,1998-04-01T23:37:38Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T06:00:00Z,1998-04-02T00:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T07:00:00Z,1998-04-02T01:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T08:00:00Z,1998-04-02T02:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T09:00:00Z,1998-04-02T03:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T10:00:00Z,1998-04-02T04:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T11:00:00Z,1998-04-02T05:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T12:00:00Z,1998-04-02T06:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T13:00:00Z,1998-04-02T07:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T14:00:00Z,1998-04-02T08:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T15:00:00Z,1998-04-02T09:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
