TIMESTAMP,solar_TIMESTAMP,SEN_SOU_IRR_Ato_Js_1,SEN_SOU_IRR_Ato_Js_2,SEN_SOU_IRR_Ato_Js_3
1998-09-14T05:00:00Z,1998-09-14T04:04:19Z,294.4961408328622,246.39448157103732,267.507384573974
1998-09-14T06:00:00Z,1998-09-14T05:04:19Z,322.5956435379666,202.0856636627262,479.27504739697997
1998-09-14T07:00:00Z,1998-09-14T06:04:19Z,781.0036728915976,163.79501271310363,442.8558820705843
1998-09-14T08:00:00Z,1998-09-14T07:04:19Z,1859.351213645143,1627.1476662621126,2230.662515572381
1998-09-14T09:00:00Z,1998-09-14T08:04:19Z,2437.443431678076,3227.054827499277,3849.2845561920644
1998-09-14T10:00:00Z,1998-09-14T09:04:19Z,2488.6123871301297,3423.6731065161075,4091.8228751163088
1998-09-14T11:00:00Z,1998-09-14T10:04:19Z,2496.3805032939554,3600.5402976779014,4301.734514540471
1998-09-14T12:00:00Z,1998-09-14T11:04:19Z,2484.7237983808413,3649.598095296326,4431.400719608943
1998-09-14T13:00:00Z,1998-09-14T12:04:19Z,2484.586000382429,3646.935417708949,4463.7848626442355
1998-09-14T14:00:00Z,1998-09-14T13:04:19Z,2463.4266160534266,3624.0575509602536,4492.602348299163
1998-09-14T15:00:00Z,1998-09-14T14:04:19Z,2443.634678838536,3606.3874197678488,4611.566404606819
1998-09-14T16:00:00Z,1998-09-14T15:04:19Z,2379.76649336155,3554.965642752309,4620.051961935683
1998-09-14T17:00:00Z,1998-09-14T16:04:19Z,2148.7039071503177,3464.559851484048,4419.758613772163
1998-09-14T18:00:00Z,1998-09-14T17:04:19Z,1416.9210472361433,2473.9619443157135,3663.967993161257
1998-09-14T19:00:00Z,1998-09-14T18:04:19Z,619.7807408281967,822.0128507947152,1770.5002460117585
1998-09-14T20:00:00Z,1998-09-14T19:04:19Z,309.13985354162327,186.32390678003242,910.6565996681787
1998-09-14T21:00:00Z,1998-09-14T20:04:19Z,162.82269667774227,261.2974114688533,600.5412604342348
1998-09-14T22:00:00Z,1998-09-14T21:04:19Z,62.10996653213825,89.02200100710675,360.6451665443195
1998-09-14T23:00:00Z,1998-09-14T22:04:19Z,99.39546282622446,127.43806661607715,311.9237378859406
1998-09-14T23:59:59Z,1998-09-14T23:04:18Z,175.7532811846682,190.40930875780964,388.36240078355604
1998-09-15T01:00:00Z,1998-09-15T00:04:19Z,220.67901766698927,170.92548707036013,430.1107059483576
1998-09-15T02:00:00Z,1998-09-15T01:04:41Z,203.58286276069097,114.38903336053286,415.78695354814033
1998-09-15T03:00:00Z,1998-09-15T02:04:41Z,135.94247255913305,68.36336196072963,318.1430314186439
1998-09-15T04:00:00Z,1998-09-15T03:04:41Z,116.98304212859661,35.05572181046673,244.38541986733955
1998-09-15T05:00:00Z,1998-09-15T04:04:41Z,120.59908990178818,133.85518958122154,294.883737754389
1998-09-15T06:00:00Z,1998-09-15T05:04:41Z,91.87837028184852,122.7807431104938,70.52920572033953
1998-09-15T07:00:00Z,1998-09-15T06:04:41Z,321.9393858701738,132.83805541713403,70.13536359868353
1998-09-15T08:00:00Z,1998-09-15T07:04:41Z,1445.9431870976955,658.0462845239191,1194.3936985184378
1998-09-15T09:00:00Z,1998-09-15T08:04:41Z,2379.397982023124,2850.577904854702,3537.177060048489
1998-09-15T10:00:00Z,1998-09-15T09:04:41Z,2495.678563795379,3322.6833555623025,3972.9722660406064
1998-09-15T11:00:00Z,1998-09-15T10:04:41Z,2547.8532886810935,3477.354230920091,4282.450433372986
1998-09-15T12:00:00Z,1998-09-15T11:04:41Z,2541.2230116362794,3606.2167468035223,4475.66400026535
1998-09-15T13:00:00Z,1998-09-15T12:04:41Z,2553.734906970443,3681.292030249651,4611.121178798345
1998-09-15T14:00:00Z,1998-09-15T13:04:41Z,2559.1865932982673,3756.43635149852,4644.146997568333
1998-09-15T15:00:00Z,1998-09-15T14:04:41Z,2492.8957622918965,3599.087940690631,4552.102600030825
1998-09-15T16:00:00Z,1998-09-15T15:04:41Z,2448.411800648876,3403.8288902224253,4440.673114309068
1998-09-15T17:00:00Z,1998-09-15T16:04:41Z,2210.2792222614007,3398.902051009022,4480.052458973514
