LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221900,2336542,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.342557179,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221901,2336563,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.094036545,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221902,2336584,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.647506328,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221903,2336605,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.491936057,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221904,2336626,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.464386583,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221905,2336647,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.644571858,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221906,2336668,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.659415537,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221907,2336689,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.159179318,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221908,2336710,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.250748458,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221909,2336731,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.3404124,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221910,2336752,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.42777391,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221911,2336773,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.432734032,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
