DateTime (Day),Volumetric Soil Moisture [m3/m3],
,0-120 cm,
,mean,SD
'28-Oct-2017',0.0312283015,0.0058835023
'29-Oct-2017',0.030423934,0.0058264594
'30-Oct-2017',0.0315637198,0.0064043274
'31-Oct-2017',0.0326249083,0.0061072705
'01-Nov-2017',0.0323313451,0.0060142048
'02-Nov-2017',0.0324514151,0.0063607912
'03-Nov-2017',0.0325681089,0.0065774545
'04-Nov-2017',0.0321637378,0.0065041844
'05-Nov-2017',0.0313267953,0.0062912256
'06-Nov-2017',0.0306996191,0.0062426847
'07-Nov-2017',0.0301853962,0.0062824753
'08-Nov-2017',0.0295009421,0.0061530023
'09-Nov-2017',0.0289701367,0.0061186316
'10-Nov-2017',0.028423514,0.0059913418
'11-Nov-2017',0.0278982567,0.005812296
'12-Nov-2017',0.0274444421,0.0056346404
'13-Nov-2017',0.0269967518,0.0054595274
'14-Nov-2017',0.0264659486,0.005193648
'15-Nov-2017',0.025973479,0.0049899083
'16-Nov-2017',0.0274782031,0.0064689704
'17-Nov-2017',0.032513296,0.0100556134
'18-Nov-2017',0.0415194989,0.0127101553
'19-Nov-2017',0.0398592978,0.0105915916
'20-Nov-2017',0.037949704,0.0093504663
'21-Nov-2017',0.0361449377,0.0085137017
'22-Nov-2017',0.0345315249,0.007893981
'23-Nov-2017',0.0331488419,0.0074160708
'24-Nov-2017',0.0320115633,0.0070411736
'25-Nov-2017',0.0310747799,0.0067258042
'26-Nov-2017',0.0305143521,0.006517654
'27-Nov-2017',0.0300508021,0.0064593737
'28-Nov-2017',0.0293592141,0.0061984587
'29-Nov-2017',0.0287826108,0.005950778
'30-Nov-2017',0.0282012713,0.0057038338
'01-Dec-2017',0.0423472727,0.0128687319
'02-Dec-2017',0.0735677917,0.018284693
'03-Dec-2017',0.0917705,0.0096957476
'04-Dec-2017',0.0782526856,0.0071390117
'05-Dec-2017',0.0727998758,0.0064252714
'06-Dec-2017',0.0688008709,0.0058534165
'07-Dec-2017',0.072273274,0.0105807432
'08-Dec-2017',0.1001774952,0.0159367586
'09-Dec-2017',0.0862707455,0.0082441856
'10-Dec-2017',0.0800984035,0.0070176384
'11-Dec-2017',0.075966056,0.0063197616
'12-Dec-2017',0.0724161242,0.0057392477
'13-Dec-2017',0.0692254128,0.0052064328
'14-Dec-2017',0.0662555065,0.0047668833
'15-Dec-2017',0.0635733388,0.004543035
'16-Dec-2017',0.0607767497,0.0041447134
'17-Dec-2017',0.0582675715,0.0038610987
'18-Dec-2017',0.0560019486,0.003656298
'19-Dec-2017',0.0564416098,0.0046791486
'20-Dec-2017',0.0676036392,0.0051855734
