Date (Day),Daily Transpiration (mm/day)
'13-Feb-2018',0.6766422207
'14-Feb-2018',0.6786894275
'15-Feb-2018',0.6337246082
'16-Feb-2018',0.6150638885
'17-Feb-2018',0.7562834653
'18-Feb-2018',0.6787603236
'19-Feb-2018',0.6908821501
'20-Feb-2018',0.6994526609
'21-Feb-2018',0.7483547208
'22-Feb-2018',0.8179216459
'23-Feb-2018',0.772856544
'24-Feb-2018',0.6275919568
'25-Feb-2018',0.660227691
'26-Feb-2018',0.6952560627
'27-Feb-2018',0.7612373094
'28-Feb-2018',0.6846505552
'01-Mar-2018',0.6465409935
'02-Mar-2018',0.7061215566
'03-Mar-2018',0.6372769134
'04-Mar-2018',0.6254477146
'05-Mar-2018',0.6403755327
'06-Mar-2018',0.6483460718
'07-Mar-2018',0.6695956168
'08-Mar-2018',0.6585714266
'09-Mar-2018',0.6986659292
'10-Mar-2018',0.666123836
'11-Mar-2018',0.6271229912
'12-Mar-2018',0.6099628409
'13-Mar-2018',0.5868990014
'14-Mar-2018',0.6113104949
'15-Mar-2018',0.5996956053
'16-Mar-2018',0.6618477016
'17-Mar-2018',0.6666553495
'18-Mar-2018',0.6247302383
'19-Mar-2018',0.5876736489
'20-Mar-2018',0.5937315771
'21-Mar-2018',0.6035303282
'22-Mar-2018',0.6439621327
'23-Mar-2018',0.6513532806
'24-Mar-2018',0.6198879616
'25-Mar-2018',0.5557577693
'26-Mar-2018',0.5595999929
'27-Mar-2018',0.6329509946
'28-Mar-2018',0.6723248096
'29-Mar-2018',0.5254831996
'30-Mar-2018',0.5758458913
'31-Mar-2018',0.6158998851
'01-Apr-2018',0.5356944384
'02-Apr-2018',0.5743764302
'03-Apr-2018',0.5452509213
'04-Apr-2018',0.5838755749
'05-Apr-2018',0.3973325201
'06-Apr-2018',0.5373821066
'07-Apr-2018',0.5871338504
'08-Apr-2018',0.6141095714
'09-Apr-2018',0.5594990301
'10-Apr-2018',0.5249615995
'11-Apr-2018',0.5772590022
'12-Apr-2018',0.5263512681
'13-Apr-2018',0.6489272321
'14-Apr-2018',0.3250705714
'15-Apr-2018',0.1481657085
'16-Apr-2018',0.5262644863
'17-Apr-2018',0.489247795
'18-Apr-2018',0.490927413
'19-Apr-2018',0.520005621
'20-Apr-2018',0.499996151
'21-Apr-2018',0.5036569545
'22-Apr-2018',0.5266479762
'23-Apr-2018',0.5544766837
'24-Apr-2018',0.587944353
'25-Apr-2018',0.5214016506
'26-Apr-2018',0.5070555241
'27-Apr-2018',0.4972466006
'28-Apr-2018',0.4920472751
'29-Apr-2018',0.5089939684
