TIMESTAMP,solar_TIMESTAMP,ITA_TOR_Lde_Js_1,ITA_TOR_Lde_Js_2,ITA_TOR_Lde_Js_3,ITA_TOR_Lde_Js_4
2015-03-06T20:30:00Z,2015-03-06T20:49:06Z,,,,
2015-03-06T21:00:00Z,2015-03-06T21:19:06Z,,,,
2015-03-06T21:30:00Z,2015-03-06T21:49:06Z,,,,
2015-03-06T22:00:00Z,2015-03-06T22:19:06Z,,NA_PRESENT,,
2015-03-06T22:30:00Z,2015-03-06T22:49:06Z,,NA_PRESENT,,
2015-03-06T23:00:00Z,2015-03-06T23:19:06Z,,NA_PRESENT,,
2015-03-06T23:30:00Z,2015-03-06T23:49:21Z,,NA_PRESENT,,
2015-03-07T00:00:00Z,2015-03-07T00:19:21Z,,NA_PRESENT,,
2015-03-07T00:30:00Z,2015-03-07T00:49:21Z,,NA_PRESENT,,
2015-03-07T01:00:00Z,2015-03-07T01:19:21Z,,NA_PRESENT,,
2015-03-07T01:30:00Z,2015-03-07T01:49:21Z,,NA_PRESENT,,
2015-03-07T02:00:00Z,2015-03-07T02:19:21Z,,NA_PRESENT,,
2015-03-07T02:30:00Z,2015-03-07T02:49:21Z,,NA_PRESENT,,
2015-03-07T03:00:00Z,2015-03-07T03:19:21Z,NA_PRESENT,NA_PRESENT,,
2015-03-07T03:30:00Z,2015-03-07T03:49:21Z,NA_PRESENT,NA_PRESENT,,
2015-03-07T04:00:00Z,2015-03-07T04:19:21Z,NA_PRESENT,NA_PRESENT,,
2015-03-07T04:30:00Z,2015-03-07T04:49:21Z,NA_PRESENT,NA_PRESENT,,
2015-03-07T05:00:00Z,2015-03-07T05:19:21Z,NA_PRESENT,NA_PRESENT,,
2015-03-07T05:30:00Z,2015-03-07T05:49:21Z,NA_PRESENT,NA_PRESENT,,
2015-03-07T06:00:00Z,2015-03-07T06:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T06:30:00Z,2015-03-07T06:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T07:00:00Z,2015-03-07T07:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T07:30:00Z,2015-03-07T07:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T08:00:00Z,2015-03-07T08:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T08:30:00Z,2015-03-07T08:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T09:00:00Z,2015-03-07T09:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T09:30:00Z,2015-03-07T09:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T10:00:00Z,2015-03-07T10:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T10:30:00Z,2015-03-07T10:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T11:00:00Z,2015-03-07T11:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T11:30:00Z,2015-03-07T11:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T12:00:00Z,2015-03-07T12:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T12:30:00Z,2015-03-07T12:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T13:00:00Z,2015-03-07T13:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T13:30:00Z,2015-03-07T13:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T14:00:00Z,2015-03-07T14:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T14:30:00Z,2015-03-07T14:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T15:00:00Z,2015-03-07T15:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T15:30:00Z,2015-03-07T15:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T16:00:00Z,2015-03-07T16:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T16:30:00Z,2015-03-07T16:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T17:00:00Z,2015-03-07T17:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T17:30:00Z,2015-03-07T17:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T18:00:00Z,2015-03-07T18:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T18:30:00Z,2015-03-07T18:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T19:00:00Z,2015-03-07T19:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T19:30:00Z,2015-03-07T19:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T20:00:00Z,2015-03-07T20:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T20:30:00Z,2015-03-07T20:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T21:00:00Z,2015-03-07T21:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,
2015-03-07T21:30:00Z,2015-03-07T21:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,
2015-03-07T22:00:00Z,2015-03-07T22:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T22:30:00Z,2015-03-07T22:49:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T23:00:00Z,2015-03-07T23:19:21Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-07T23:30:00Z,2015-03-07T23:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T00:00:00Z,2015-03-08T00:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T00:30:00Z,2015-03-08T00:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T01:00:00Z,2015-03-08T01:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T01:30:00Z,2015-03-08T01:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T02:00:00Z,2015-03-08T02:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T02:30:00Z,2015-03-08T02:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T03:00:00Z,2015-03-08T03:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T03:30:00Z,2015-03-08T03:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T04:00:00Z,2015-03-08T04:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T04:30:00Z,2015-03-08T04:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T05:00:00Z,2015-03-08T05:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T05:30:00Z,2015-03-08T05:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T06:00:00Z,2015-03-08T06:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T06:30:00Z,2015-03-08T06:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T07:00:00Z,2015-03-08T07:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T07:30:00Z,2015-03-08T07:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T08:00:00Z,2015-03-08T08:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T08:30:00Z,2015-03-08T08:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T09:00:00Z,2015-03-08T09:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T09:30:00Z,2015-03-08T09:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T10:00:00Z,2015-03-08T10:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T10:30:00Z,2015-03-08T10:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T11:00:00Z,2015-03-08T11:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T11:30:00Z,2015-03-08T11:49:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-08T12:00:00Z,2015-03-08T12:19:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
