TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST2_DRO_Peu_Js_1,CHN_YIN_ST2_DRO_Peu_Js_2
2012-05-27T00:39:59Z,2012-05-27T06:22:42Z,,
2012-05-27T00:50:00Z,2012-05-27T06:32:43Z,,
2012-05-27T01:00:00Z,2012-05-27T06:42:43Z,,
2012-05-27T01:10:00Z,2012-05-27T06:52:43Z,,
2012-05-27T01:20:00Z,2012-05-27T07:02:43Z,,
2012-05-27T01:30:00Z,2012-05-27T07:12:43Z,,
2012-05-27T01:40:00Z,2012-05-27T07:22:43Z,,
2012-05-27T01:49:59Z,2012-05-27T07:32:42Z,,
2012-05-27T01:59:59Z,2012-05-27T07:42:42Z,,
2012-05-27T02:09:59Z,2012-05-27T07:52:42Z,,
2012-05-27T02:20:00Z,2012-05-27T08:02:43Z,,
2012-05-27T02:30:00Z,2012-05-27T08:12:43Z,,
2012-05-27T02:40:00Z,2012-05-27T08:22:43Z,,
2012-05-27T02:50:00Z,2012-05-27T08:32:43Z,,
2012-05-27T03:00:00Z,2012-05-27T08:42:43Z,,
2012-05-27T03:10:00Z,2012-05-27T08:52:43Z,,
2012-05-27T03:19:59Z,2012-05-27T09:02:42Z,,
2012-05-27T03:29:59Z,2012-05-27T09:12:42Z,,
2012-05-27T03:39:59Z,2012-05-27T09:22:42Z,,
2012-05-27T03:50:00Z,2012-05-27T09:32:43Z,,
2012-05-27T04:00:00Z,2012-05-27T09:42:43Z,,
2012-05-27T04:10:00Z,2012-05-27T09:52:43Z,,
2012-05-27T04:20:00Z,2012-05-27T10:02:43Z,,
2012-05-27T04:30:00Z,2012-05-27T10:12:43Z,,
2012-05-27T04:40:00Z,2012-05-27T10:22:43Z,,
2012-05-27T04:49:59Z,2012-05-27T10:32:42Z,,
2012-05-27T04:59:59Z,2012-05-27T10:42:42Z,,
2012-05-27T05:09:59Z,2012-05-27T10:52:42Z,,
2012-05-27T05:20:00Z,2012-05-27T11:02:43Z,,
2012-05-27T05:30:00Z,2012-05-27T11:12:43Z,,
2012-05-27T05:40:00Z,2012-05-27T11:22:43Z,,
2012-05-27T05:50:00Z,2012-05-27T11:32:43Z,,
2012-05-27T06:00:00Z,2012-05-27T11:42:43Z,,
2012-05-27T06:10:00Z,2012-05-27T11:52:43Z,,
2012-05-27T06:19:59Z,2012-05-27T12:02:42Z,,
2012-05-27T06:29:59Z,2012-05-27T12:12:42Z,,
2012-05-27T06:39:59Z,2012-05-27T12:22:42Z,,
2012-05-27T06:50:00Z,2012-05-27T12:32:43Z,,
2012-05-27T07:00:00Z,2012-05-27T12:42:43Z,,
2012-05-27T07:10:00Z,2012-05-27T12:52:43Z,,
2012-05-27T07:20:00Z,2012-05-27T13:02:43Z,,
2012-05-27T07:30:00Z,2012-05-27T13:12:43Z,,
2012-05-27T07:40:00Z,2012-05-27T13:22:43Z,,
2012-05-27T07:49:59Z,2012-05-27T13:32:42Z,,
2012-05-27T07:59:59Z,2012-05-27T13:42:42Z,,
2012-05-27T08:09:59Z,2012-05-27T13:52:42Z,,
2012-05-27T08:20:00Z,2012-05-27T14:02:43Z,,
2012-05-27T08:30:00Z,2012-05-27T14:12:43Z,,
2012-05-27T08:40:00Z,2012-05-27T14:22:43Z,,
2012-05-27T08:50:00Z,2012-05-27T14:32:43Z,,
2012-05-27T09:00:00Z,2012-05-27T14:42:43Z,,
2012-05-27T09:10:00Z,2012-05-27T14:52:43Z,,
2012-05-27T09:19:59Z,2012-05-27T15:02:42Z,,
2012-05-27T09:29:59Z,2012-05-27T15:12:42Z,,
2012-05-27T09:39:59Z,2012-05-27T15:22:42Z,,
2012-05-27T09:50:00Z,2012-05-27T15:32:43Z,,
2012-05-27T10:00:00Z,2012-05-27T15:42:43Z,,
2012-05-27T10:10:00Z,2012-05-27T15:52:43Z,,
2012-05-27T10:20:00Z,2012-05-27T16:02:43Z,,
2012-05-27T10:30:00Z,2012-05-27T16:12:43Z,,
2012-05-27T10:40:00Z,2012-05-27T16:22:43Z,,
2012-05-27T10:49:59Z,2012-05-27T16:32:42Z,,
2012-05-27T10:59:59Z,2012-05-27T16:42:42Z,,
2012-05-27T11:09:59Z,2012-05-27T16:52:42Z,,
2012-05-27T11:20:00Z,2012-05-27T17:02:43Z,,
2012-05-27T11:30:00Z,2012-05-27T17:12:43Z,,
2012-05-27T11:40:00Z,2012-05-27T17:22:43Z,,
2012-05-27T11:50:00Z,2012-05-27T17:32:43Z,,
2012-05-27T12:00:00Z,2012-05-27T17:42:43Z,,
2012-05-27T12:10:00Z,2012-05-27T17:52:43Z,,
2012-05-27T12:19:59Z,2012-05-27T18:02:42Z,,
2012-05-27T12:29:59Z,2012-05-27T18:12:42Z,,
2012-05-27T12:39:59Z,2012-05-27T18:22:42Z,,
2012-05-27T12:50:00Z,2012-05-27T18:32:43Z,,
2012-05-27T13:00:00Z,2012-05-27T18:42:43Z,,
2012-05-27T13:10:00Z,2012-05-27T18:52:43Z,,
2012-05-27T13:20:00Z,2012-05-27T19:02:43Z,,
2012-05-27T13:30:00Z,2012-05-27T19:12:43Z,,
2012-05-27T13:40:00Z,2012-05-27T19:22:43Z,,
2012-05-27T13:49:59Z,2012-05-27T19:32:42Z,,
2012-05-27T13:59:59Z,2012-05-27T19:42:42Z,,
2012-05-27T14:09:59Z,2012-05-27T19:52:42Z,,
2012-05-27T14:20:00Z,2012-05-27T20:02:43Z,,
2012-05-27T14:30:00Z,2012-05-27T20:12:43Z,,
2012-05-27T14:40:00Z,2012-05-27T20:22:43Z,,
2012-05-27T14:50:00Z,2012-05-27T20:32:43Z,,
2012-05-27T15:00:00Z,2012-05-27T20:42:43Z,,
2012-05-27T15:10:00Z,2012-05-27T20:52:43Z,,
2012-05-27T15:19:59Z,2012-05-27T21:02:42Z,,
2012-05-27T15:29:59Z,2012-05-27T21:12:42Z,,
2012-05-27T15:39:59Z,2012-05-27T21:22:42Z,,
2012-05-27T15:50:00Z,2012-05-27T21:32:43Z,,
2012-05-27T16:00:00Z,2012-05-27T21:42:43Z,,
2012-05-27T16:10:00Z,2012-05-27T21:52:43Z,,
2012-05-27T16:20:00Z,2012-05-27T22:02:43Z,,
