TIMESTAMP,solar_TIMESTAMP,CZE_RAJ_RAJ_Fsy_Jt_1,CZE_RAJ_RAJ_Fsy_Jt_2,CZE_RAJ_RAJ_Fsy_Jt_3,CZE_RAJ_RAJ_Fsy_Jt_4,CZE_RAJ_RAJ_Fsy_Jt_5,CZE_RAJ_RAJ_Fsy_Jt_6
2012-05-21T16:30:00Z,2012-05-21T17:39:41Z,843.0402874946594,798.2462048530579,1490.8114671707153,1606.1639785766602,1140.6047344207764,3142.1256065368652
2012-05-21T16:40:00Z,2012-05-21T17:49:41Z,838.1284475326538,801.7857074737549,1458.6117267608643,1535.9476804733276,1148.8879919052124,3169.3859100341797
2012-05-21T16:50:00Z,2012-05-21T17:59:41Z,703.5916447639465,559.4049096107483,1230.5257320404053,1303.4504652023315,864.3790483474731,2497.5810050964355
2012-05-21T17:00:00Z,2012-05-21T18:09:41Z,574.3046998977661,450.7869482040405,1011.742353439331,1128.0468702316284,698.7387537956238,2028.1682014465332
2012-05-21T17:10:00Z,2012-05-21T18:19:41Z,520.3303694725037,401.32880210876465,882.4761509895325,1004.8620700836182,619.7234988212585,1796.735167503357
2012-05-21T17:20:00Z,2012-05-21T18:29:41Z,418.16839575767517,276.10814571380615,715.4663801193237,868.8333034515381,462.9386365413666,1374.5899200439453
2012-05-21T17:30:00Z,2012-05-21T18:39:41Z,337.50656247138977,195.6201046705246,575.7541656494141,756.4297318458557,370.6406354904175,1097.8971719741821
2012-05-21T17:40:00Z,2012-05-21T18:49:41Z,285.407155752182,149.49697256088257,465.62713384628296,665.4011607170105,295.9567606449127,876.8668174743652
2012-05-21T17:50:00Z,2012-05-21T18:59:41Z,238.55772614479065,120.4114556312561,384.62725281715393,589.3722772598267,252.93898582458496,740.699052810669
2012-05-21T18:00:00Z,2012-05-21T19:09:41Z,196.95842266082764,92.48578548431396,325.663685798645,529.8436880111694,211.268812417984,628.1649470329285
2012-05-21T18:10:00Z,2012-05-21T19:19:41Z,168.17143559455872,73.91279190778732,277.83283591270447,481.0026288032532,178.4534752368927,579.5971751213074
2012-05-21T18:20:00Z,2012-05-21T19:29:41Z,147.07204699516296,61.5021288394928,245.63300609588623,437.8802478313446,154.49325740337372,525.554358959198
2012-05-21T18:30:00Z,2012-05-21T19:39:41Z,124.53524768352509,51.7740435898304,221.59209847450256,402.6326835155487,137.07804679870605,458.18907022476196
2012-05-21T18:40:00Z,2012-05-21T19:49:41Z,99.1232693195343,23.268453776836395,190.53608179092407,347.32288122177124,121.10666930675507,393.65243911743164
2012-05-21T18:50:00Z,2012-05-21T19:59:41Z,79.8989087343216,26.30041167140007,164.13138806819916,300.6379008293152,100.03385692834854,336.14209294319153
2012-05-21T19:00:00Z,2012-05-21T20:09:41Z,68.2995617389679,37.08970919251442,136.0490769147873,274.67188239097595,96.57490253448486,277.1720588207245
2012-05-21T19:10:00Z,2012-05-21T20:19:41Z,61.45015358924866,38.381680846214294,116.04932695627213,256.58079981803894,124.58956241607666,245.94147503376007
2012-05-21T19:20:00Z,2012-05-21T20:29:41Z,34.10074859857559,50.83858221769333,94.29594874382019,211.30205690860748,129.98560070991516,203.03136110305786
2012-05-21T19:30:00Z,2012-05-21T20:39:41Z,21.56384289264679,53.290508687496185,84.81857180595398,181.02340400218964,102.27169096469879,165.5959188938141
2012-05-21T19:40:00Z,2012-05-21T20:49:41Z,21.40197902917862,40.2999222278595,66.57268106937408,165.08856415748596,98.0425626039505,166.48559272289276
2012-05-21T19:50:00Z,2012-05-21T20:59:41Z,20.802486687898636,32.746873795986176,68.07544082403183,153.37234735488892,99.01110082864761,145.74915170669556
2012-05-21T20:00:00Z,2012-05-21T21:09:41Z,21.078158169984818,33.023763447999954,67.82445311546326,153.8436859846115,96.22595459222794,106.30621016025543
2012-05-21T20:10:00Z,2012-05-21T21:19:41Z,9.041279554367065,34.388117492198944,58.3471804857254,132.1900188922882,84.68206971883774,92.50480681657791
2012-05-21T20:20:00Z,2012-05-21T21:29:41Z,5.504302680492401,35.17254814505577,48.18374663591385,140.53644239902496,74.6779814362526,81.53191208839417
2012-05-21T20:30:00Z,2012-05-21T21:39:41Z,5.842465907335281,37.11693361401558,33.44523906707764,116.72652512788773,71.89269363880157,59.42649766802788
2012-05-21T20:40:00Z,2012-05-21T21:49:41Z,4.7431327402591705,17.96390488743782,32.660458236932755,122.16665595769882,68.4337466955185,62.415048480033875
2012-05-21T20:50:00Z,2012-05-21T21:59:41Z,4.581175744533539,9.395774453878403,33.62942114472389,96.20049595832825,45.91723531484604,24.249713867902756
2012-05-21T21:00:00Z,2012-05-21T22:09:41Z,4.419311881065369,10.18020510673523,33.37854519486427,86.64052188396454,48.32947626709938,18.20448599755764
2012-05-21T21:10:00Z,2012-05-21T22:19:41Z,0,9.87706333398819,33.73747318983078,79.23706620931625,76.34428143501282,16.265373677015305
2012-05-21T21:20:00Z,2012-05-21T22:29:41Z,0,10.154061019420624,21.896539255976677,84.7707986831665,66.34019315242767,17.15504564344883
2012-05-21T21:30:00Z,2012-05-21T22:39:41Z,0,12.605879455804825,15.850519761443138,79.52344417572021,46.71137034893036,17.31467805802822
2012-05-21T21:40:00Z,2012-05-21T22:49:41Z,0,18.392905592918396,16.209563240408897,80.65108954906464,47.583673149347305,16.744406893849373
2012-05-21T21:50:00Z,2012-05-21T22:59:41Z,0,15.842236578464508,16.568493098020554,71.18485122919083,47.78217151761055,3.6729052662849426
2012-05-21T22:00:00Z,2012-05-21T23:09:41Z,0,15.539202839136124,14.030078426003456,56.562479585409164,47.980669885873795,0
2012-05-21T22:10:00Z,2012-05-21T23:19:41Z,0,1.968584954738617,7.374139502644539,59.190064668655396,37.206683307886124,0
2012-05-21T22:20:00Z,2012-05-21T23:29:41Z,0,0.577978789806366,3.6917850375175476,56.848861277103424,24.892613291740417,0
2012-05-21T22:30:00Z,2012-05-21T23:39:41Z,0,1.9423328340053558,1.153256744146347,52.25781351327896,25.091111660003662,0
2012-05-21T22:40:00Z,2012-05-21T23:49:41Z,0,17.154302448034286,0,36.32283955812454,26.059651747345924,0
2012-05-21T22:50:00Z,2012-05-21T23:59:41Z,0,15.691205859184265,0,38.95042464137077,24.81459081172943,0
2012-05-21T23:00:00Z,2012-05-22T00:09:35Z,0,13.720568269491196,0,38.0157008767128,25.686750188469887,0
2012-05-21T23:10:00Z,2012-05-22T00:19:35Z,0,0,0,39.893247187137604,25.21158754825592,0
2012-05-21T23:20:00Z,2012-05-22T00:29:35Z,0,1.0068714618682861,0.050902366638183594,41.77079349756241,2.6950743049383163,0
2012-05-21T23:30:00Z,2012-05-22T00:39:35Z,0,11.216353625059128,1.0198652744293213,41.585974395275116,3.567233681678772,0
2012-05-21T23:40:00Z,2012-05-22T00:49:35Z,0,9.245716035366058,0.7688757032155991,39.901070296764374,2.322029322385788,0
2012-05-21T23:50:00Z,2012-05-22T00:59:35Z,0,5.607690662145615,0,41.02857783436775,2.5205276906490326,0
2012-05-22T00:00:00Z,2012-05-22T01:09:35Z,1.505296677350998,0,0,20.781252533197403,2.7190260589122772,0
2012-05-22T00:10:00Z,2012-05-22T01:19:35Z,0,0,0,17.03384332358837,2.147626131772995,0
2012-05-22T00:20:00Z,2012-05-22T01:29:35Z,0,4.118341952562332,0,19.567692652344704,2.3461245000362396,0
2012-05-22T00:30:00Z,2012-05-22T01:39:35Z,0,4.975263029336929,2.5639794766902924,17.226487398147583,2.5446228682994843,0
2012-05-22T00:40:00Z,2012-05-22T01:49:35Z,0,3.512166440486908,2.9229093343019485,16.9477891176939,0,8.486352860927582
2012-05-22T00:50:00Z,2012-05-22T01:59:35Z,5.4457224905490875,3.2091327011585236,3.281952813267708,26.70041285455227,0,10.7447300106287
2012-05-22T01:00:00Z,2012-05-22T02:09:35Z,1.4713965356349945,4.573486745357513,3.640996292233467,29.32813949882984,17.096389085054398,0.41077472269535065
2012-05-22T01:10:00Z,2012-05-22T02:19:35Z,0,3.182988613843918,7.5074173510074615,19.862037152051926,0,0
2012-05-22T01:20:00Z,2012-05-22T02:29:35Z,0,2.2998154163360596,13.051457703113556,8.895853534340858,0,0
2012-05-22T01:30:00Z,2012-05-22T02:39:35Z,0,1.9967816770076752,6.471758708357811,12.92964443564415,0,0
2012-05-22T01:40:00Z,2012-05-22T02:49:35Z,0,2.853594720363617,4.46702353656292,10.494841262698174,0,0.4106387495994568
2012-05-22T01:50:00Z,2012-05-22T02:59:35Z,0,0.8830651640892029,0,10.966183617711067,0,0
2012-05-22T02:00:00Z,2012-05-22T03:09:35Z,0,0,0,0,0,0
2012-05-22T02:10:00Z,2012-05-22T03:19:35Z,0,0,13.166442513465881,0,17.333611845970154,0
2012-05-22T02:20:00Z,2012-05-22T03:29:35Z,0,0,10.701540857553482,0,0,0
2012-05-22T02:30:00Z,2012-05-22T03:39:35Z,0,0,0,5.894433706998825,0,0.4599969834089279
2012-05-22T02:40:00Z,2012-05-22T03:49:35Z,0,2.3058652877807617,4.475431516766548,6.640702486038208,0,0
2012-05-22T02:50:00Z,2012-05-22T03:59:35Z,0,7.558558136224747,0,8.136732503771782,0,0
2012-05-22T03:00:00Z,2012-05-22T04:09:35Z,3.7995167076587677,9.548749774694443,2.366960048675537,0,0,8.585205301642418
2012-05-22T03:10:00Z,2012-05-22T04:19:35Z,5.495268851518631,21.39904350042343,21.404558792710304,0,3.9108768105506897,4.571279510855675
2012-05-22T03:20:00Z,2012-05-22T04:29:35Z,1.8785707652568817,20.634274929761887,19.473450258374214,0,0,6.123820319771767
2012-05-22T03:30:00Z,2012-05-22T04:39:35Z,2.1367333829402924,14.794528484344482,15.254803001880646,0,0,4.847712814807892
2012-05-22T03:40:00Z,2012-05-22T04:49:35Z,12.832507491111755,0,30.784910544753075,0,1.5306174755096436,5.0314124673604965
2012-05-22T03:50:00Z,2012-05-22T04:59:35Z,11.653266847133636,0,32.28505328297615,0,2.0206961780786514,6.4927153289318085
2012-05-22T04:00:00Z,2012-05-22T05:09:35Z,11.911429464817047,20.692721009254456,32.71760791540146,0,2.5106314569711685,5.30770979821682
2012-05-22T04:10:00Z,2012-05-22T05:19:35Z,7.357168942689896,21.015308797359467,33.15027803182602,0,2.904186025261879,35.330161452293396
2012-05-22T04:20:00Z,2012-05-22T05:29:35Z,0,18.510662019252777,43.41915249824524,0,0.41033513844013214,96.74281626939774
2012-05-22T04:30:00Z,2012-05-22T05:39:35Z,13.061240315437317,4.985850304365158,53.07798832654953,3.6913901567459106,6.001707166433334,161.53155267238617
2012-05-22T04:40:00Z,2012-05-22T05:49:35Z,26.632007211446762,6.396118551492691,78.52064818143845,25.90622752904892,15.25023952126503,291.1079227924347
2012-05-22T04:50:00Z,2012-05-22T05:59:35Z,46.39020189642906,13.896338641643524,127.14320421218872,72.40232080221176,63.480183482170105,531.9176316261292
2012-05-22T05:00:00Z,2012-05-22T06:09:35Z,72.83594459295273,39.59403187036514,188.57577443122864,143.92957091331482,125.570148229599,807.5852990150452
2012-05-22T05:10:00Z,2012-05-22T06:19:35Z,105.96923530101776,65.29172509908676,253.51592898368835,232.61332511901855,207.39135146141052,1126.9617080688477
2012-05-22T05:20:00Z,2012-05-22T06:29:35Z,162.9149615764618,100.99439322948456,367.86606907844543,365.6405508518219,309.1362416744232,1509.0266466140747
2012-05-22T05:30:00Z,2012-05-22T06:39:35Z,216.0482108592987,143.29466223716736,492.66231060028076,525.0116586685181,434.3663454055786,1886.8939876556396
2012-05-22T05:40:00Z,2012-05-22T06:49:35Z,283.43135118484497,226.99247300624847,671.519935131073,714.4765257835388,595.4975485801697,2322.5226402282715
2012-05-22T05:50:00Z,2012-05-22T06:59:35Z,309.8771870136261,264.9426758289337,773.6701965332031,810.2851510047913,669.3298816680908,2473.6342430114746
2012-05-22T06:00:00Z,2012-05-22T07:09:35Z,318.19790601730347,276.28540992736816,815.8876895904541,854.62486743927,702.7372717857361,2480.023145675659
2012-05-22T06:10:00Z,2012-05-22T07:19:35Z,347.0188081264496,323.00814986228943,892.41790771484375,974.0585684776306,734.0273261070251,2570.6353187561035
2012-05-22T06:20:00Z,2012-05-22T07:29:35Z,424.4644045829773,413.88338804244995,1025.9829759597778,1169.9920892715454,868.7860369682312,2919.9416637420654
2012-05-22T06:30:00Z,2012-05-22T07:39:35Z,526.1601805686951,523.1010317802429,1203.6205530166626,1431.5508604049683,1048.204779624939,3392.4357891082764
2012-05-22T06:40:00Z,2012-05-22T07:49:35Z,621.2309002876282,609.6262335777283,1354.0369272232056,1651.0157585144043,1196.9194412231445,3706.3369750976562
2012-05-22T06:50:00Z,2012-05-22T07:59:35Z,643.864095211029,623.7240433692932,1426.5258312225342,1751.8866062164307,1247.2671270370483,3716.193199157715
2012-05-22T07:00:00Z,2012-05-22T08:09:35Z,677.4349808692932,727.9393076896667,1553.075909614563,1967.038869857788,1349.0121364593506,3817.9380893707275
2012-05-22T07:10:00Z,2012-05-22T08:19:35Z,759.6307396888733,798.3694672584534,1687.174677848816,2137.941360473633,1444.1156387329102,3908.459424972534
2012-05-22T07:20:00Z,2012-05-22T08:29:35Z,760.8263492584229,803.1147122383118,1670.1462268829346,2203.749895095825,1457.791805267334,3907.274007797241
2012-05-22T07:30:00Z,2012-05-22T08:39:35Z,1055.0220012664795,1115.1149272918701,2179.166316986084,2814.8083686828613,1910.9455347061157,4701.789379119873
2012-05-22T07:40:00Z,2012-05-22T08:49:35Z,1168.1554317474365,1218.2425260543823,2284.137725830078,2960.679292678833,2033.1916809082031,4816.765785217285
2012-05-22T07:50:00Z,2012-05-22T08:59:35Z,1238.913655281067,1337.320327758789,2394.446611404419,3101.4885902404785,2101.1528968811035,4875.988006591797
