TIMESTAMP,solar_TIMESTAMP,SWE_SKY_38Y_Psy_Jt_1,SWE_SKY_38Y_Psy_Jt_2,SWE_SKY_38Y_Psy_Jt_3,SWE_SKY_38Y_Psy_Jt_4,SWE_SKY_38Y_Psy_Jt_5,SWE_SKY_38Y_Psy_Jt_6,SWE_SKY_38Y_Psy_Jt_7,SWE_SKY_38Y_Psy_Jt_8,SWE_SKY_38Y_Psy_Jt_9,SWE_SKY_38Y_Psy_Jt_10,SWE_SKY_38Y_Psy_Jt_11,SWE_SKY_38Y_Psy_Jt_12
2001-01-03T13:30:00Z,2001-01-03T14:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T14:00:00Z,2001-01-03T15:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T14:30:00Z,2001-01-03T15:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T15:00:00Z,2001-01-03T16:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T15:30:00Z,2001-01-03T16:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T16:00:00Z,2001-01-03T17:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T16:30:00Z,2001-01-03T17:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T17:00:00Z,2001-01-03T18:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T17:30:00Z,2001-01-03T18:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T18:00:00Z,2001-01-03T19:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T18:30:00Z,2001-01-03T19:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T19:00:00Z,2001-01-03T20:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T19:30:00Z,2001-01-03T20:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T20:00:00Z,2001-01-03T21:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T20:30:00Z,2001-01-03T21:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T21:00:00Z,2001-01-03T22:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T21:30:00Z,2001-01-03T22:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T22:00:00Z,2001-01-03T23:05:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T22:30:00Z,2001-01-03T23:35:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T23:00:00Z,2001-01-04T00:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03T23:30:00Z,2001-01-04T00:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T00:00:00Z,2001-01-04T01:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T00:30:00Z,2001-01-04T01:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T01:00:00Z,2001-01-04T02:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T01:30:00Z,2001-01-04T02:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T02:00:00Z,2001-01-04T03:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T02:30:00Z,2001-01-04T03:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T03:00:00Z,2001-01-04T04:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T03:30:00Z,2001-01-04T04:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T04:00:00Z,2001-01-04T05:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T04:30:00Z,2001-01-04T05:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T05:00:00Z,2001-01-04T06:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T05:30:00Z,2001-01-04T06:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T06:00:00Z,2001-01-04T07:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T06:30:00Z,2001-01-04T07:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T07:00:00Z,2001-01-04T08:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T07:30:00Z,2001-01-04T08:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T08:00:00Z,2001-01-04T09:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T08:30:00Z,2001-01-04T09:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T09:00:00Z,2001-01-04T10:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T09:30:00Z,2001-01-04T10:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T10:00:00Z,2001-01-04T11:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T10:30:00Z,2001-01-04T11:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T11:00:00Z,2001-01-04T12:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T11:30:00Z,2001-01-04T12:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T12:00:00Z,2001-01-04T13:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T12:30:00Z,2001-01-04T13:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T13:00:00Z,2001-01-04T14:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T13:30:00Z,2001-01-04T14:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T14:00:00Z,2001-01-04T15:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T14:30:00Z,2001-01-04T15:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T15:00:00Z,2001-01-04T16:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T15:30:00Z,2001-01-04T16:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T16:00:00Z,2001-01-04T17:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T16:30:00Z,2001-01-04T17:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T17:00:00Z,2001-01-04T18:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T17:30:00Z,2001-01-04T18:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T18:00:00Z,2001-01-04T19:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T18:30:00Z,2001-01-04T19:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T19:00:00Z,2001-01-04T20:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T19:30:00Z,2001-01-04T20:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T20:00:00Z,2001-01-04T21:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T20:30:00Z,2001-01-04T21:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T21:00:00Z,2001-01-04T22:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T21:30:00Z,2001-01-04T22:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T22:00:00Z,2001-01-04T23:05:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T22:30:00Z,2001-01-04T23:35:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T23:00:00Z,2001-01-05T00:05:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-04T23:30:00Z,2001-01-05T00:35:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-05T00:00:00Z,2001-01-05T01:05:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
