TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2016-02-27T02:30:00Z,2016-02-26T19:49:17Z,144.91773235117796,NA,-6.891556403425341,-12.753465893079156,-84.73727658057382,NA,-4.716515149756409,34.2828054597028
2016-02-27T02:45:00Z,2016-02-26T20:04:17Z,64.24264991006775,NA,9.951528474065105,-31.195377690915393,-183.70207470836272,NA,4.224668934226004,181.30421617467783
2016-02-27T03:00:00Z,2016-02-26T20:19:17Z,-65.47742687335693,NA,3.3179768462911943,-20.317832554911167,-82.3875216597475,NA,-5.867542732700662,442.8046768693519
2016-02-27T03:15:00Z,2016-02-26T20:34:17Z,-130.75207012239713,NA,3.662513832382893,-16.950671832727323,-85.64281049222319,NA,-19.375373327584718,133.60252492936687
2016-02-27T03:30:00Z,2016-02-26T20:49:17Z,-80.75339619464563,NA,5.234508328366009,-28.212744676195356,-206.1297441388032,NA,-3.3911499534573024,49.47747929045739
2016-02-27T03:45:00Z,2016-02-26T21:04:17Z,119.72016893743191,NA,8.41175808713931,-14.676277260545664,-150.42175972530566,NA,-17.81428497121608,211.25836826898367
2016-02-27T04:00:00Z,2016-02-26T21:19:17Z,148.73148667159822,NA,-19.973872448814472,-25.061517611808306,-231.58345197289577,NA,0.7585446918173332,181.87663985705643
2016-02-27T04:15:00Z,2016-02-26T21:34:17Z,-101.38795414222338,NA,9.930833424232109,-11.488096587493157,-153.2862779780122,NA,-11.033155151417539,111.44516478108105
2016-02-27T04:30:00Z,2016-02-26T21:49:17Z,-70.52897480134371,NA,-13.073073331806661,-14.706453451580627,-159.64375115489636,NA,-29.01582862586,367.226187948898
2016-02-27T04:45:00Z,2016-02-26T22:04:17Z,156.96633521414722,NA,-26.872494230795546,-22.814305546647432,-47.58185133386699,NA,-0.5888456825806587,73.11148493083212
