TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,swc_deep,sw_in,ext_rad
2007-10-02T20:45:00Z,2007-10-02T20:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T21:00:00Z,2007-10-02T20:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T21:15:00Z,2007-10-02T20:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T21:30:00Z,2007-10-02T21:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T21:45:00Z,2007-10-02T21:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T22:00:00Z,2007-10-02T21:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T22:15:00Z,2007-10-02T21:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T22:30:00Z,2007-10-02T22:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T22:45:00Z,2007-10-02T22:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T23:00:00Z,2007-10-02T22:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T23:15:00Z,2007-10-02T22:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T23:30:00Z,2007-10-02T23:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T23:45:00Z,2007-10-02T23:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T00:00:00Z,2007-10-02T23:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T00:15:00Z,2007-10-02T23:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T00:30:00Z,2007-10-03T00:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T00:45:00Z,2007-10-03T00:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T01:00:00Z,2007-10-03T00:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T01:15:00Z,2007-10-03T00:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T01:30:00Z,2007-10-03T01:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T01:45:00Z,2007-10-03T01:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T02:00:00Z,2007-10-03T01:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T02:15:00Z,2007-10-03T01:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T02:30:00Z,2007-10-03T02:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T02:45:00Z,2007-10-03T02:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T03:00:00Z,2007-10-03T02:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T03:15:00Z,2007-10-03T02:52:22Z,,,,,,,CALCULATED,CALCULATED
