TIMESTAMP,solar_TIMESTAMP,ITA_REN_Pab_Jt_1,ITA_REN_Pab_Jt_2,ITA_REN_Pab_Jt_3,ITA_REN_Pab_Jt_4,ITA_REN_Pab_Jt_5,ITA_REN_Lde_Jt_6,ITA_REN_Pce_Jt_7,ITA_REN_Pab_Jt_8
2016-01-05T17:00:00Z,2016-01-05T17:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T17:30:00Z,2016-01-05T18:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T18:00:00Z,2016-01-05T18:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T18:30:00Z,2016-01-05T19:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T19:00:00Z,2016-01-05T19:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T19:30:00Z,2016-01-05T20:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T20:00:00Z,2016-01-05T20:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T20:30:00Z,2016-01-05T21:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T21:00:00Z,2016-01-05T21:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T21:30:00Z,2016-01-05T22:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T22:00:00Z,2016-01-05T22:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T22:30:00Z,2016-01-05T23:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T23:00:00Z,2016-01-05T23:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T23:30:00Z,2016-01-06T00:09:07Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06T00:00:00Z,2016-01-06T00:39:07Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06T00:30:00Z,2016-01-06T01:09:07Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06T01:00:00Z,2016-01-06T01:39:07Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06T01:30:00Z,2016-01-06T02:09:07Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06T02:00:00Z,2016-01-06T02:39:07Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06T02:30:00Z,2016-01-06T03:09:07Z,NA,NA,NA,NA,NA,NA,NA,NA
