TIMESTAMP,TIMESTAMP_solar,USA_TNO_Aru_Js_1,USA_TNO_Aru_Js_2,USA_TNO_Aru_Js_3,USA_TNO_Ltu_Js_4,USA_TNO_Qal_Js_5,USA_TNO_Qal_Js_6,USA_TNO_Qpr_Js_7,USA_TNO_Qpr_Js_8,USA_TNO_Qru_Js_9
1998-04-08T12:00:00Z,1998-04-08T06:21:16Z,,,,,,,,,
1998-04-08T13:00:00Z,1998-04-08T07:21:16Z,,,,,,,,,
1998-04-08T14:00:00Z,1998-04-08T08:21:16Z,,,,,,,,,
1998-04-08T15:00:00Z,1998-04-08T09:21:16Z,,,,,,,,,
1998-04-08T16:00:00Z,1998-04-08T10:21:16Z,,,,,,,,,
1998-04-08T17:00:00Z,1998-04-08T11:21:16Z,,,,OUT_WARN,,,,,
1998-04-08T18:00:00Z,1998-04-08T12:21:16Z,,,,OUT_WARN,,,,,
1998-04-08T19:00:00Z,1998-04-08T13:21:16Z,,,,OUT_WARN,,,,,
1998-04-08T20:00:00Z,1998-04-08T14:21:16Z,,,,OUT_WARN,,,,,
1998-04-08T21:00:00Z,1998-04-08T15:21:16Z,,,,OUT_WARN,,,,,
1998-04-08T22:00:00Z,1998-04-08T16:21:16Z,,,,OUT_WARN,,,,,
1998-04-08T23:00:00Z,1998-04-08T17:21:16Z,,,,,,,,,
1998-04-09T00:00:00Z,1998-04-08T18:21:16Z,,,,,,,,,
1998-04-09T01:00:00Z,1998-04-08T19:21:16Z,,,,,,,,,
1998-04-09T02:00:00Z,1998-04-08T20:21:16Z,,,,,,,,,
1998-04-09T03:00:00Z,1998-04-08T21:21:16Z,,,,,,,,,
1998-04-09T04:00:00Z,1998-04-08T22:21:16Z,,,,,,,,,
1998-04-09T05:00:00Z,1998-04-08T23:21:16Z,,,,,,,,,
1998-04-09T06:00:00Z,1998-04-09T00:21:32Z,,,,,,,,,
1998-04-09T07:00:00Z,1998-04-09T01:21:32Z,,,,,,,,,
1998-04-09T08:00:00Z,1998-04-09T02:21:32Z,,,,,,,,,
1998-04-09T09:00:00Z,1998-04-09T03:21:32Z,,,,,,,,,
1998-04-09T10:00:00Z,1998-04-09T04:21:32Z,,,,,,,,,
1998-04-09T11:00:00Z,1998-04-09T05:21:32Z,,,,,,,,,
1998-04-09T12:00:00Z,1998-04-09T06:21:32Z,,,,,,,,,
1998-04-09T13:00:00Z,1998-04-09T07:21:32Z,,,,,,,,,
1998-04-09T14:00:00Z,1998-04-09T08:21:32Z,,,,,,,,,
1998-04-09T15:00:00Z,1998-04-09T09:21:32Z,,,,OUT_WARN,,,,,
1998-04-09T16:00:00Z,1998-04-09T10:21:32Z,,,,OUT_WARN,,,,,
1998-04-09T17:00:00Z,1998-04-09T11:21:32Z,,,,,,,,,
1998-04-09T18:00:00Z,1998-04-09T12:21:32Z,,,,,,,,,
1998-04-09T19:00:00Z,1998-04-09T13:21:32Z,,,,,,,,,
1998-04-09T20:00:00Z,1998-04-09T14:21:32Z,,,,,,,,,
1998-04-09T21:00:00Z,1998-04-09T15:21:32Z,,,,,,,,,
1998-04-09T22:00:00Z,1998-04-09T16:21:32Z,,,,,,,,,
1998-04-09T23:00:00Z,1998-04-09T17:21:32Z,,,,,,,,,
1998-04-10T00:00:00Z,1998-04-09T18:21:32Z,,,,,,,,,
1998-04-10T01:00:00Z,1998-04-09T19:21:32Z,,,,,,,,,
1998-04-10T02:00:00Z,1998-04-09T20:21:32Z,,,,,,,,,
1998-04-10T03:00:00Z,1998-04-09T21:21:32Z,,,,,,,,,
1998-04-10T04:00:00Z,1998-04-09T22:21:32Z,,,,,,,,,
1998-04-10T05:00:00Z,1998-04-09T23:21:32Z,,,,,,,,,
1998-04-10T06:00:00Z,1998-04-10T00:21:48Z,,,,,,,,,
1998-04-10T07:00:00Z,1998-04-10T01:21:48Z,,,,,,,,,
1998-04-10T08:00:00Z,1998-04-10T02:21:48Z,,,,,,,,,
1998-04-10T09:00:00Z,1998-04-10T03:21:48Z,,,,,,,,,
1998-04-10T10:00:00Z,1998-04-10T04:21:48Z,,,,,,,,,
1998-04-10T11:00:00Z,1998-04-10T05:21:48Z,,,,,,,,,
1998-04-10T12:00:00Z,1998-04-10T06:21:48Z,,,,,,,,,
1998-04-10T13:00:00Z,1998-04-10T07:21:48Z,,,,,,,,,
1998-04-10T14:00:00Z,1998-04-10T08:21:48Z,,,,,,,,,
1998-04-10T15:00:00Z,1998-04-10T09:21:48Z,,,,,,,,,
1998-04-10T16:00:00Z,1998-04-10T10:21:48Z,,,,,,,,,
1998-04-10T17:00:00Z,1998-04-10T11:21:48Z,,,,,,,,,
1998-04-10T18:00:00Z,1998-04-10T12:21:48Z,,,,,,,,,
1998-04-10T19:00:00Z,1998-04-10T13:21:48Z,,,,,,,,,
1998-04-10T20:00:00Z,1998-04-10T14:21:48Z,,,,,,,,,
1998-04-10T21:00:00Z,1998-04-10T15:21:48Z,,,,,,,,,
1998-04-10T22:00:00Z,1998-04-10T16:21:48Z,,,,,,,,,
1998-04-10T23:00:00Z,1998-04-10T17:21:48Z,,,,,,,,,
1998-04-11T00:00:00Z,1998-04-10T18:21:48Z,,,,,,,,,
1998-04-11T01:00:00Z,1998-04-10T19:21:48Z,,,,,,,,,
1998-04-11T02:00:00Z,1998-04-10T20:21:48Z,,,,,,,,,
1998-04-11T03:00:00Z,1998-04-10T21:21:48Z,,,,,,,,,
1998-04-11T04:00:00Z,1998-04-10T22:21:48Z,,,,,,,,,
1998-04-11T05:00:00Z,1998-04-10T23:21:48Z,,,,,,,,,
1998-04-11T06:00:00Z,1998-04-11T00:22:04Z,,,,,,,,,
1998-04-11T07:00:00Z,1998-04-11T01:22:04Z,,,,,,,,,
1998-04-11T08:00:00Z,1998-04-11T02:22:04Z,,,,,,,,,
1998-04-11T09:00:00Z,1998-04-11T03:22:04Z,,,,,,,,,
1998-04-11T10:00:00Z,1998-04-11T04:22:04Z,,,,,,,,,
1998-04-11T11:00:00Z,1998-04-11T05:22:04Z,,,,,,,,,
1998-04-11T12:00:00Z,1998-04-11T06:22:04Z,,,,,,,,,
1998-04-11T13:00:00Z,1998-04-11T07:22:04Z,,,,,,,,,
1998-04-11T14:00:00Z,1998-04-11T08:22:04Z,,,,,,,,,
1998-04-11T15:00:00Z,1998-04-11T09:22:04Z,,,,,,,,,
1998-04-11T16:00:00Z,1998-04-11T10:22:04Z,,,,OUT_WARN,,,,,
