TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-11T23:00:00Z,2009-09-12T08:48:42Z,,,,,
2009-09-11T23:29:59Z,2009-09-12T09:18:41Z,,,,,
2009-09-12T00:00:00Z,2009-09-12T09:48:42Z,,,,,
2009-09-12T00:30:00Z,2009-09-12T10:18:42Z,,,,,
2009-09-12T00:59:59Z,2009-09-12T10:48:41Z,,,,,
2009-09-12T01:30:00Z,2009-09-12T11:18:42Z,,,,,
2009-09-12T02:00:00Z,2009-09-12T11:48:42Z,,,,,
2009-09-12T02:29:59Z,2009-09-12T12:18:41Z,,,,,
2009-09-12T03:00:00Z,2009-09-12T12:48:42Z,,,,,
2009-09-12T03:30:00Z,2009-09-12T13:18:42Z,,,,,
2009-09-12T03:59:59Z,2009-09-12T13:48:41Z,,,,,
2009-09-12T04:30:00Z,2009-09-12T14:18:42Z,,,,,
2009-09-12T05:00:00Z,2009-09-12T14:48:42Z,,,,,
2009-09-12T05:29:59Z,2009-09-12T15:18:41Z,,,,,
2009-09-12T06:00:00Z,2009-09-12T15:48:42Z,,,,,
2009-09-12T06:30:00Z,2009-09-12T16:18:42Z,,,,,
2009-09-12T06:59:59Z,2009-09-12T16:48:41Z,,,,,
2009-09-12T07:30:00Z,2009-09-12T17:18:42Z,,,,,
2009-09-12T08:00:00Z,2009-09-12T17:48:42Z,,,,,
2009-09-12T08:29:59Z,2009-09-12T18:18:41Z,,,,,
2009-09-12T09:00:00Z,2009-09-12T18:48:42Z,,,,,
2009-09-12T09:30:00Z,2009-09-12T19:18:42Z,,,,,
2009-09-12T09:59:59Z,2009-09-12T19:48:41Z,,,,,
2009-09-12T10:30:00Z,2009-09-12T20:18:42Z,,,,,
2009-09-12T11:00:00Z,2009-09-12T20:48:42Z,,,,,
2009-09-12T11:29:59Z,2009-09-12T21:18:41Z,,,,,
2009-09-12T12:00:00Z,2009-09-12T21:48:42Z,,,,,
2009-09-12T12:30:00Z,2009-09-12T22:18:42Z,,,,,
2009-09-12T12:59:59Z,2009-09-12T22:48:41Z,,,,,
2009-09-12T13:30:00Z,2009-09-12T23:18:42Z,,,,,
2009-09-12T14:00:00Z,2009-09-12T23:48:42Z,,,,,
2009-09-12T14:29:59Z,2009-09-13T00:19:03Z,,,,,
2009-09-12T15:00:00Z,2009-09-13T00:49:04Z,,,,,
2009-09-12T15:30:00Z,2009-09-13T01:19:04Z,,,,,
2009-09-12T15:59:59Z,2009-09-13T01:49:03Z,,,,,
2009-09-12T16:30:00Z,2009-09-13T02:19:04Z,,,,,
2009-09-12T17:00:00Z,2009-09-13T02:49:04Z,,,,,
2009-09-12T17:29:59Z,2009-09-13T03:19:03Z,,,,,
2009-09-12T18:00:00Z,2009-09-13T03:49:04Z,,,,,
2009-09-12T18:30:00Z,2009-09-13T04:19:04Z,,,,,
2009-09-12T18:59:59Z,2009-09-13T04:49:03Z,,,,,
2009-09-12T19:30:00Z,2009-09-13T05:19:04Z,,,,,
2009-09-12T20:00:00Z,2009-09-13T05:49:04Z,,,,,
2009-09-12T20:29:59Z,2009-09-13T06:19:03Z,,,,,
2009-09-12T21:00:00Z,2009-09-13T06:49:04Z,,,,,
2009-09-12T21:30:00Z,2009-09-13T07:19:04Z,,,,,
2009-09-12T21:59:59Z,2009-09-13T07:49:03Z,,,,,
2009-09-12T22:30:00Z,2009-09-13T08:19:04Z,,,,,
2009-09-12T23:00:00Z,2009-09-13T08:49:04Z,,,,,
2009-09-12T23:29:59Z,2009-09-13T09:19:03Z,,,,,
2009-09-13T00:00:00Z,2009-09-13T09:49:04Z,,,,,
2009-09-13T00:30:00Z,2009-09-13T10:19:04Z,,,,,
2009-09-13T00:59:59Z,2009-09-13T10:49:03Z,,,,,
2009-09-13T01:30:00Z,2009-09-13T11:19:04Z,,,,,
2009-09-13T02:00:00Z,2009-09-13T11:49:04Z,,,,,
2009-09-13T02:29:59Z,2009-09-13T12:19:03Z,,,,,
2009-09-13T03:00:00Z,2009-09-13T12:49:04Z,,,,,
2009-09-13T03:30:00Z,2009-09-13T13:19:04Z,,,,,
2009-09-13T03:59:59Z,2009-09-13T13:49:03Z,,,,,
2009-09-13T04:30:00Z,2009-09-13T14:19:04Z,,,,,
2009-09-13T05:00:00Z,2009-09-13T14:49:04Z,,,,,
2009-09-13T05:29:59Z,2009-09-13T15:19:03Z,,,,,
2009-09-13T06:00:00Z,2009-09-13T15:49:04Z,,,,,
2009-09-13T06:30:00Z,2009-09-13T16:19:04Z,,,,,
2009-09-13T06:59:59Z,2009-09-13T16:49:03Z,,,,,
2009-09-13T07:30:00Z,2009-09-13T17:19:04Z,,,,,
2009-09-13T08:00:00Z,2009-09-13T17:49:04Z,,,,,
2009-09-13T08:29:59Z,2009-09-13T18:19:03Z,,,,,
2009-09-13T09:00:00Z,2009-09-13T18:49:04Z,,,,,
2009-09-13T09:30:00Z,2009-09-13T19:19:04Z,,,,,
2009-09-13T09:59:59Z,2009-09-13T19:49:03Z,,,,,
2009-09-13T10:30:00Z,2009-09-13T20:19:04Z,,,,,
2009-09-13T11:00:00Z,2009-09-13T20:49:04Z,,,,,
2009-09-13T11:29:59Z,2009-09-13T21:19:03Z,,,,,
2009-09-13T12:00:00Z,2009-09-13T21:49:04Z,,,,,
2009-09-13T12:30:00Z,2009-09-13T22:19:04Z,,,,,
2009-09-13T12:59:59Z,2009-09-13T22:49:03Z,,,,,
2009-09-13T13:30:00Z,2009-09-13T23:19:04Z,,,,,
2009-09-13T14:00:00Z,2009-09-13T23:49:04Z,,,,,
