TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,precip,ppfd_in,ext_rad
2008-07-01T10:30:00Z,2008-07-01T07:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T11:00:00Z,2008-07-01T07:55:03Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T11:30:00Z,2008-07-01T08:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T12:00:00Z,2008-07-01T08:55:03Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T12:30:00Z,2008-07-01T09:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T13:00:00Z,2008-07-01T09:55:03Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T13:30:00Z,2008-07-01T10:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T14:00:00Z,2008-07-01T10:55:03Z,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T14:30:00Z,2008-07-01T11:25:03Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T15:00:00Z,2008-07-01T11:55:03Z,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T15:30:00Z,2008-07-01T12:25:03Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T16:00:00Z,2008-07-01T12:55:03Z,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T16:30:00Z,2008-07-01T13:25:03Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T17:00:00Z,2008-07-01T13:55:03Z,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T17:30:00Z,2008-07-01T14:25:03Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T18:00:00Z,2008-07-01T14:55:03Z,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T18:30:00Z,2008-07-01T15:25:03Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T19:00:00Z,2008-07-01T15:55:03Z,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-07-01T19:30:00Z,2008-07-01T16:25:03Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T20:00:00Z,2008-07-01T16:55:03Z,,,OUT_WARN,,,CALCULATED,CALCULATED
2008-07-01T20:30:00Z,2008-07-01T17:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T21:00:00Z,2008-07-01T17:55:03Z,,,,NA_PRESENT,,CALCULATED,CALCULATED
2008-07-01T21:30:00Z,2008-07-01T18:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T22:00:00Z,2008-07-01T18:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T22:30:00Z,2008-07-01T19:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T23:00:00Z,2008-07-01T19:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T23:30:00Z,2008-07-01T20:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T00:00:00Z,2008-07-01T20:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-02T00:30:00Z,2008-07-01T21:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T01:00:00Z,2008-07-01T21:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-02T01:30:00Z,2008-07-01T22:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T02:00:00Z,2008-07-01T22:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-02T02:30:00Z,2008-07-01T23:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T03:00:00Z,2008-07-01T23:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-02T03:30:00Z,2008-07-02T00:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T04:00:00Z,2008-07-02T00:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T04:30:00Z,2008-07-02T01:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T05:00:00Z,2008-07-02T01:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T05:30:00Z,2008-07-02T02:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T06:00:00Z,2008-07-02T02:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T06:30:00Z,2008-07-02T03:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T07:00:00Z,2008-07-02T03:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T07:30:00Z,2008-07-02T04:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T08:00:00Z,2008-07-02T04:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T08:30:00Z,2008-07-02T05:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T09:00:00Z,2008-07-02T05:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T09:30:00Z,2008-07-02T06:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T10:00:00Z,2008-07-02T06:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T10:30:00Z,2008-07-02T07:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T11:00:00Z,2008-07-02T07:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T11:30:00Z,2008-07-02T08:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T12:00:00Z,2008-07-02T08:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T12:30:00Z,2008-07-02T09:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T13:00:00Z,2008-07-02T09:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T13:30:00Z,2008-07-02T10:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T14:00:00Z,2008-07-02T10:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T14:30:00Z,2008-07-02T11:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T15:00:00Z,2008-07-02T11:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T15:30:00Z,2008-07-02T12:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T16:00:00Z,2008-07-02T12:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T16:30:00Z,2008-07-02T13:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T17:00:00Z,2008-07-02T13:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T17:30:00Z,2008-07-02T14:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T18:00:00Z,2008-07-02T14:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T18:30:00Z,2008-07-02T15:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T19:00:00Z,2008-07-02T15:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T19:30:00Z,2008-07-02T16:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T20:00:00Z,2008-07-02T16:54:53Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-02T20:30:00Z,2008-07-02T17:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T21:00:00Z,2008-07-02T17:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T21:30:00Z,2008-07-02T18:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T22:00:00Z,2008-07-02T18:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T22:30:00Z,2008-07-02T19:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-02T23:00:00Z,2008-07-02T19:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-02T23:30:00Z,2008-07-02T20:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T00:00:00Z,2008-07-02T20:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-03T00:30:00Z,2008-07-02T21:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T01:00:00Z,2008-07-02T21:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-03T01:30:00Z,2008-07-02T22:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T02:00:00Z,2008-07-02T22:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-03T02:30:00Z,2008-07-02T23:24:53Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T03:00:00Z,2008-07-02T23:54:53Z,,,,,,CALCULATED,CALCULATED
2008-07-03T03:30:00Z,2008-07-03T00:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T04:00:00Z,2008-07-03T00:54:44Z,,,,,,CALCULATED,CALCULATED
2008-07-03T04:30:00Z,2008-07-03T01:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T05:00:00Z,2008-07-03T01:54:44Z,,,,,,CALCULATED,CALCULATED
2008-07-03T05:30:00Z,2008-07-03T02:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T06:00:00Z,2008-07-03T02:54:44Z,,,,,,CALCULATED,CALCULATED
2008-07-03T06:30:00Z,2008-07-03T03:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T07:00:00Z,2008-07-03T03:54:44Z,,,,,,CALCULATED,CALCULATED
2008-07-03T07:30:00Z,2008-07-03T04:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T08:00:00Z,2008-07-03T04:54:44Z,,,,,,CALCULATED,CALCULATED
2008-07-03T08:30:00Z,2008-07-03T05:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T09:00:00Z,2008-07-03T05:54:44Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-03T09:30:00Z,2008-07-03T06:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-03T10:00:00Z,2008-07-03T06:54:44Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-07-03T10:30:00Z,2008-07-03T07:24:44Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
