TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,ppfd_in,vpd,ext_rad
2001-01-04T01:30:00Z,2001-01-04T02:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T02:00:00Z,2001-01-04T03:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T02:30:00Z,2001-01-04T03:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T03:00:00Z,2001-01-04T04:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T03:30:00Z,2001-01-04T04:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T04:00:00Z,2001-01-04T05:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T04:30:00Z,2001-01-04T05:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T05:00:00Z,2001-01-04T06:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T05:30:00Z,2001-01-04T06:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T06:00:00Z,2001-01-04T07:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T06:30:00Z,2001-01-04T07:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T07:00:00Z,2001-01-04T08:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T07:30:00Z,2001-01-04T08:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T08:00:00Z,2001-01-04T09:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T08:30:00Z,2001-01-04T09:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T09:00:00Z,2001-01-04T10:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T09:30:00Z,2001-01-04T10:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T10:00:00Z,2001-01-04T11:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T10:30:00Z,2001-01-04T11:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T11:00:00Z,2001-01-04T12:05:29Z,,,OUT_WARN,OUT_WARN,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T11:30:00Z,2001-01-04T12:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T12:00:00Z,2001-01-04T13:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T12:30:00Z,2001-01-04T13:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T13:00:00Z,2001-01-04T14:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T13:30:00Z,2001-01-04T14:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T14:00:00Z,2001-01-04T15:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T14:30:00Z,2001-01-04T15:35:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T15:00:00Z,2001-01-04T16:05:29Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T15:30:00Z,2001-01-04T16:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T16:00:00Z,2001-01-04T17:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T16:30:00Z,2001-01-04T17:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T17:00:00Z,2001-01-04T18:05:29Z,,,,OUT_WARN,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
