TIMESTAMP,solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,GUF_GUY_ST2_Dgu_Js_2,GUF_GUY_ST2_Dgu_Js_3,GUF_GUY_ST2_Dgu_Js_4,GUF_GUY_ST2_Vsp_Js_5,GUF_GUY_ST2_Oas_Js_6,GUF_GUY_ST2_Oas_Js_7,GUF_GUY_ST2_Rsp_Js_8,GUF_GUY_ST2_Ssp_Js_9,GUF_GUY_ST2_Vam_Js_10,GUF_GUY_ST2_Ggl_Js_11
2008-01-04T11:00:00Z,2008-01-04T07:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T11:30:00Z,2008-01-04T07:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T12:00:00Z,2008-01-04T08:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T12:30:00Z,2008-01-04T08:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T13:00:00Z,2008-01-04T09:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T13:30:00Z,2008-01-04T09:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T14:00:00Z,2008-01-04T10:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T14:30:00Z,2008-01-04T10:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T15:00:00Z,2008-01-04T11:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T15:30:00Z,2008-01-04T11:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T16:00:00Z,2008-01-04T12:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T16:30:00Z,2008-01-04T12:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T17:00:00Z,2008-01-04T13:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T17:30:00Z,2008-01-04T13:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T18:00:00Z,2008-01-04T14:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T18:30:00Z,2008-01-04T14:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T19:00:00Z,2008-01-04T15:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T19:30:00Z,2008-01-04T15:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T20:00:00Z,2008-01-04T16:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T20:30:00Z,2008-01-04T16:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T21:00:00Z,2008-01-04T17:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T21:30:00Z,2008-01-04T17:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
