TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST1_Peu_Js_1,CHN_YIN_ST1_Peu_Js_2,CHN_YIN_ST1_Peu_Js_3,CHN_YIN_ST1_Peu_Js_4,CHN_YIN_ST1_Peu_Js_5
2012-05-26T20:40:00Z,2012-05-27T02:25:04Z,,,,,
2012-05-26T20:50:00Z,2012-05-27T02:35:04Z,,,,,
2012-05-26T21:00:00Z,2012-05-27T02:45:04Z,,,,,
2012-05-26T21:10:00Z,2012-05-27T02:55:04Z,,,,,
2012-05-26T21:19:59Z,2012-05-27T03:05:03Z,,,,,
2012-05-26T21:29:59Z,2012-05-27T03:15:03Z,,,,,
2012-05-26T21:39:59Z,2012-05-27T03:25:03Z,,,,,
2012-05-26T21:50:00Z,2012-05-27T03:35:04Z,,,,,
2012-05-26T22:00:00Z,2012-05-27T03:45:04Z,,,,,
2012-05-26T22:10:00Z,2012-05-27T03:55:04Z,,,,,
2012-05-26T22:20:00Z,2012-05-27T04:05:04Z,,,,,
2012-05-26T22:30:00Z,2012-05-27T04:15:04Z,,,,,
2012-05-26T22:40:00Z,2012-05-27T04:25:04Z,,,,,
2012-05-26T22:49:59Z,2012-05-27T04:35:03Z,,,,,
2012-05-26T22:59:59Z,2012-05-27T04:45:03Z,,,,,
2012-05-26T23:09:59Z,2012-05-27T04:55:03Z,,,,,
2012-05-26T23:20:00Z,2012-05-27T05:05:04Z,,,,,
2012-05-26T23:30:00Z,2012-05-27T05:15:04Z,,,,,
2012-05-26T23:40:00Z,2012-05-27T05:25:04Z,,,,,
2012-05-26T23:50:00Z,2012-05-27T05:35:04Z,,,,,
2012-05-27T00:00:00Z,2012-05-27T05:45:04Z,,,,,
2012-05-27T00:10:00Z,2012-05-27T05:55:04Z,,,,,
2012-05-27T00:19:59Z,2012-05-27T06:05:03Z,,,,,
2012-05-27T00:29:59Z,2012-05-27T06:15:03Z,,,,,
2012-05-27T00:39:59Z,2012-05-27T06:25:03Z,,,,,
2012-05-27T00:50:00Z,2012-05-27T06:35:04Z,,,,,
2012-05-27T01:00:00Z,2012-05-27T06:45:04Z,,,,,
2012-05-27T01:10:00Z,2012-05-27T06:55:04Z,,,,,
2012-05-27T01:20:00Z,2012-05-27T07:05:04Z,,,,,
2012-05-27T01:30:00Z,2012-05-27T07:15:04Z,,,,,
2012-05-27T01:40:00Z,2012-05-27T07:25:04Z,,,,,
2012-05-27T01:49:59Z,2012-05-27T07:35:03Z,,,,,
2012-05-27T01:59:59Z,2012-05-27T07:45:03Z,,,,,
2012-05-27T02:09:59Z,2012-05-27T07:55:03Z,,,,,
2012-05-27T02:20:00Z,2012-05-27T08:05:04Z,,,,,
2012-05-27T02:30:00Z,2012-05-27T08:15:04Z,,,,,
2012-05-27T02:40:00Z,2012-05-27T08:25:04Z,,,,,
2012-05-27T02:50:00Z,2012-05-27T08:35:04Z,,,,,
2012-05-27T03:00:00Z,2012-05-27T08:45:04Z,,,,,
2012-05-27T03:10:00Z,2012-05-27T08:55:04Z,,,,,
2012-05-27T03:19:59Z,2012-05-27T09:05:03Z,,,,,
2012-05-27T03:29:59Z,2012-05-27T09:15:03Z,,,,,
2012-05-27T03:39:59Z,2012-05-27T09:25:03Z,,,,,
2012-05-27T03:50:00Z,2012-05-27T09:35:04Z,,,,,
2012-05-27T04:00:00Z,2012-05-27T09:45:04Z,,,,,
2012-05-27T04:10:00Z,2012-05-27T09:55:04Z,,,,,
2012-05-27T04:20:00Z,2012-05-27T10:05:04Z,,,,,
2012-05-27T04:30:00Z,2012-05-27T10:15:04Z,,,,,
2012-05-27T04:40:00Z,2012-05-27T10:25:04Z,,,,,
2012-05-27T04:49:59Z,2012-05-27T10:35:03Z,,,,,
2012-05-27T04:59:59Z,2012-05-27T10:45:03Z,,,,,
2012-05-27T05:09:59Z,2012-05-27T10:55:03Z,,,,,
2012-05-27T05:20:00Z,2012-05-27T11:05:04Z,,,,,
2012-05-27T05:30:00Z,2012-05-27T11:15:04Z,,,,,
2012-05-27T05:40:00Z,2012-05-27T11:25:04Z,,,,,
2012-05-27T05:50:00Z,2012-05-27T11:35:04Z,,,,,
2012-05-27T06:00:00Z,2012-05-27T11:45:04Z,,,,,
2012-05-27T06:10:00Z,2012-05-27T11:55:04Z,,,,,
2012-05-27T06:19:59Z,2012-05-27T12:05:03Z,,,,,
