TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST3_DRO_Peu_Js_1,CHN_YIN_ST3_DRO_Peu_Js_2,CHN_YIN_ST3_DRO_Peu_Js_3
2012-05-27T01:00:00Z,2012-05-27T06:46:09Z,,,
2012-05-27T01:10:00Z,2012-05-27T06:56:09Z,,,
2012-05-27T01:20:00Z,2012-05-27T07:06:09Z,,,
2012-05-27T01:30:00Z,2012-05-27T07:16:09Z,,,
2012-05-27T01:40:00Z,2012-05-27T07:26:09Z,,,
2012-05-27T01:49:59Z,2012-05-27T07:36:08Z,,,
2012-05-27T01:59:59Z,2012-05-27T07:46:08Z,,,
2012-05-27T02:09:59Z,2012-05-27T07:56:08Z,,,
2012-05-27T02:20:00Z,2012-05-27T08:06:09Z,,,
2012-05-27T02:30:00Z,2012-05-27T08:16:09Z,,,
2012-05-27T02:40:00Z,2012-05-27T08:26:09Z,,,
2012-05-27T02:50:00Z,2012-05-27T08:36:09Z,,,
2012-05-27T03:00:00Z,2012-05-27T08:46:09Z,,,
2012-05-27T03:10:00Z,2012-05-27T08:56:09Z,,,
2012-05-27T03:19:59Z,2012-05-27T09:06:08Z,,,
2012-05-27T03:29:59Z,2012-05-27T09:16:08Z,,,
2012-05-27T03:39:59Z,2012-05-27T09:26:08Z,,,
2012-05-27T03:50:00Z,2012-05-27T09:36:09Z,,,
2012-05-27T04:00:00Z,2012-05-27T09:46:09Z,,,
2012-05-27T04:10:00Z,2012-05-27T09:56:09Z,,,
2012-05-27T04:20:00Z,2012-05-27T10:06:09Z,,,
2012-05-27T04:30:00Z,2012-05-27T10:16:09Z,,,
2012-05-27T04:40:00Z,2012-05-27T10:26:09Z,,,
2012-05-27T04:49:59Z,2012-05-27T10:36:08Z,,,
2012-05-27T04:59:59Z,2012-05-27T10:46:08Z,,,
2012-05-27T05:09:59Z,2012-05-27T10:56:08Z,,,
2012-05-27T05:20:00Z,2012-05-27T11:06:09Z,,,
2012-05-27T05:30:00Z,2012-05-27T11:16:09Z,,,
2012-05-27T05:40:00Z,2012-05-27T11:26:09Z,,,
2012-05-27T05:50:00Z,2012-05-27T11:36:09Z,,,
2012-05-27T06:00:00Z,2012-05-27T11:46:09Z,,,
2012-05-27T06:10:00Z,2012-05-27T11:56:09Z,,,
2012-05-27T06:19:59Z,2012-05-27T12:06:08Z,,,
2012-05-27T06:29:59Z,2012-05-27T12:16:08Z,,,
2012-05-27T06:39:59Z,2012-05-27T12:26:08Z,,,
2012-05-27T06:50:00Z,2012-05-27T12:36:09Z,,,
2012-05-27T07:00:00Z,2012-05-27T12:46:09Z,,,
2012-05-27T07:10:00Z,2012-05-27T12:56:09Z,,,
2012-05-27T07:20:00Z,2012-05-27T13:06:09Z,,,
2012-05-27T07:30:00Z,2012-05-27T13:16:09Z,,,
2012-05-27T07:40:00Z,2012-05-27T13:26:09Z,,,
2012-05-27T07:49:59Z,2012-05-27T13:36:08Z,,,
2012-05-27T07:59:59Z,2012-05-27T13:46:08Z,,,
2012-05-27T08:09:59Z,2012-05-27T13:56:08Z,,,
2012-05-27T08:20:00Z,2012-05-27T14:06:09Z,,,
2012-05-27T08:30:00Z,2012-05-27T14:16:09Z,,,
2012-05-27T08:40:00Z,2012-05-27T14:26:09Z,,,
2012-05-27T08:50:00Z,2012-05-27T14:36:09Z,,,
2012-05-27T09:00:00Z,2012-05-27T14:46:09Z,,,
2012-05-27T09:10:00Z,2012-05-27T14:56:09Z,,,
2012-05-27T09:19:59Z,2012-05-27T15:06:08Z,,,
2012-05-27T09:29:59Z,2012-05-27T15:16:08Z,,,
2012-05-27T09:39:59Z,2012-05-27T15:26:08Z,,,
2012-05-27T09:50:00Z,2012-05-27T15:36:09Z,,,
2012-05-27T10:00:00Z,2012-05-27T15:46:09Z,,,
2012-05-27T10:10:00Z,2012-05-27T15:56:09Z,,,
2012-05-27T10:20:00Z,2012-05-27T16:06:09Z,,,
2012-05-27T10:30:00Z,2012-05-27T16:16:09Z,,,
2012-05-27T10:40:00Z,2012-05-27T16:26:09Z,,,
2012-05-27T10:49:59Z,2012-05-27T16:36:08Z,,,
2012-05-27T10:59:59Z,2012-05-27T16:46:08Z,,,
2012-05-27T11:09:59Z,2012-05-27T16:56:08Z,,,
2012-05-27T11:20:00Z,2012-05-27T17:06:09Z,,,
2012-05-27T11:30:00Z,2012-05-27T17:16:09Z,,,
2012-05-27T11:40:00Z,2012-05-27T17:26:09Z,,,
2012-05-27T11:50:00Z,2012-05-27T17:36:09Z,,,
2012-05-27T12:00:00Z,2012-05-27T17:46:09Z,,,
2012-05-27T12:10:00Z,2012-05-27T17:56:09Z,,,
2012-05-27T12:19:59Z,2012-05-27T18:06:08Z,,,
2012-05-27T12:29:59Z,2012-05-27T18:16:08Z,,,
2012-05-27T12:39:59Z,2012-05-27T18:26:08Z,,,
2012-05-27T12:50:00Z,2012-05-27T18:36:09Z,,,
2012-05-27T13:00:00Z,2012-05-27T18:46:09Z,,,
2012-05-27T13:10:00Z,2012-05-27T18:56:09Z,,,
2012-05-27T13:20:00Z,2012-05-27T19:06:09Z,,,
2012-05-27T13:30:00Z,2012-05-27T19:16:09Z,,,
2012-05-27T13:40:00Z,2012-05-27T19:26:09Z,,,
2012-05-27T13:49:59Z,2012-05-27T19:36:08Z,,,
2012-05-27T13:59:59Z,2012-05-27T19:46:08Z,,,
2012-05-27T14:09:59Z,2012-05-27T19:56:08Z,,,
2012-05-27T14:20:00Z,2012-05-27T20:06:09Z,,,
2012-05-27T14:30:00Z,2012-05-27T20:16:09Z,,,
2012-05-27T14:40:00Z,2012-05-27T20:26:09Z,,,
2012-05-27T14:50:00Z,2012-05-27T20:36:09Z,,,
2012-05-27T15:00:00Z,2012-05-27T20:46:09Z,,,
2012-05-27T15:10:00Z,2012-05-27T20:56:09Z,,,
2012-05-27T15:19:59Z,2012-05-27T21:06:08Z,,,
2012-05-27T15:29:59Z,2012-05-27T21:16:08Z,,,
2012-05-27T15:39:59Z,2012-05-27T21:26:08Z,,,
2012-05-27T15:50:00Z,2012-05-27T21:36:09Z,,,
2012-05-27T16:00:00Z,2012-05-27T21:46:09Z,,,
2012-05-27T16:10:00Z,2012-05-27T21:56:09Z,,,
2012-05-27T16:20:00Z,2012-05-27T22:06:09Z,,,
2012-05-27T16:30:00Z,2012-05-27T22:16:09Z,,,
2012-05-27T16:40:00Z,2012-05-27T22:26:09Z,,,
2012-05-27T16:49:59Z,2012-05-27T22:36:08Z,,,
2012-05-27T16:59:59Z,2012-05-27T22:46:08Z,,,
2012-05-27T17:09:59Z,2012-05-27T22:56:08Z,,,
2012-05-27T17:20:00Z,2012-05-27T23:06:09Z,,,
2012-05-27T17:30:00Z,2012-05-27T23:16:09Z,,,
2012-05-27T17:40:00Z,2012-05-27T23:26:09Z,,,
2012-05-27T17:50:00Z,2012-05-27T23:36:09Z,,,
2012-05-27T18:00:00Z,2012-05-27T23:46:09Z,,,
2012-05-27T18:10:00Z,2012-05-27T23:56:09Z,,,
2012-05-27T18:19:59Z,2012-05-28T00:06:00Z,,,
2012-05-27T18:29:59Z,2012-05-28T00:16:00Z,,,
2012-05-27T18:39:59Z,2012-05-28T00:26:00Z,,,
2012-05-27T18:50:00Z,2012-05-28T00:36:01Z,,,
2012-05-27T19:00:00Z,2012-05-28T00:46:01Z,,,
2012-05-27T19:10:00Z,2012-05-28T00:56:01Z,,,
2012-05-27T19:20:00Z,2012-05-28T01:06:01Z,,,
2012-05-27T19:30:00Z,2012-05-28T01:16:01Z,,,
2012-05-27T19:40:00Z,2012-05-28T01:26:01Z,,,
2012-05-27T19:49:59Z,2012-05-28T01:36:00Z,,,
2012-05-27T19:59:59Z,2012-05-28T01:46:00Z,,,
2012-05-27T20:09:59Z,2012-05-28T01:56:00Z,,,
2012-05-27T20:20:00Z,2012-05-28T02:06:01Z,,,
2012-05-27T20:30:00Z,2012-05-28T02:16:01Z,,,
2012-05-27T20:40:00Z,2012-05-28T02:26:01Z,,,
2012-05-27T20:50:00Z,2012-05-28T02:36:01Z,,,
2012-05-27T21:00:00Z,2012-05-28T02:46:01Z,,,
2012-05-27T21:10:00Z,2012-05-28T02:56:01Z,,,
2012-05-27T21:19:59Z,2012-05-28T03:06:00Z,,,
2012-05-27T21:29:59Z,2012-05-28T03:16:00Z,,,
2012-05-27T21:39:59Z,2012-05-28T03:26:00Z,,,
2012-05-27T21:50:00Z,2012-05-28T03:36:01Z,,,
2012-05-27T22:00:00Z,2012-05-28T03:46:01Z,,,
2012-05-27T22:10:00Z,2012-05-28T03:56:01Z,,,
2012-05-27T22:20:00Z,2012-05-28T04:06:01Z,,,
2012-05-27T22:30:00Z,2012-05-28T04:16:01Z,,,
2012-05-27T22:40:00Z,2012-05-28T04:26:01Z,,,
2012-05-27T22:49:59Z,2012-05-28T04:36:00Z,,,
2012-05-27T22:59:59Z,2012-05-28T04:46:00Z,,,
2012-05-27T23:09:59Z,2012-05-28T04:56:00Z,,,
2012-05-27T23:20:00Z,2012-05-28T05:06:01Z,,,
2012-05-27T23:30:00Z,2012-05-28T05:16:01Z,,,
2012-05-27T23:40:00Z,2012-05-28T05:26:01Z,,,
2012-05-27T23:50:00Z,2012-05-28T05:36:01Z,,,
2012-05-28T00:00:00Z,2012-05-28T05:46:01Z,,,
2012-05-28T00:10:00Z,2012-05-28T05:56:01Z,,,
2012-05-28T00:19:59Z,2012-05-28T06:06:00Z,,,
2012-05-28T00:29:59Z,2012-05-28T06:16:00Z,,,
2012-05-28T00:39:59Z,2012-05-28T06:26:00Z,,,
2012-05-28T00:50:00Z,2012-05-28T06:36:01Z,,,
2012-05-28T01:00:00Z,2012-05-28T06:46:01Z,,,
2012-05-28T01:10:00Z,2012-05-28T06:56:01Z,,,
2012-05-28T01:20:00Z,2012-05-28T07:06:01Z,,,
2012-05-28T01:30:00Z,2012-05-28T07:16:01Z,,,
2012-05-28T01:40:00Z,2012-05-28T07:26:01Z,,,
2012-05-28T01:49:59Z,2012-05-28T07:36:00Z,,,
2012-05-28T01:59:59Z,2012-05-28T07:46:00Z,,,
2012-05-28T02:09:59Z,2012-05-28T07:56:00Z,,,
2012-05-28T02:20:00Z,2012-05-28T08:06:01Z,,,
2012-05-28T02:30:00Z,2012-05-28T08:16:01Z,,,
2012-05-28T02:40:00Z,2012-05-28T08:26:01Z,,,
2012-05-28T02:50:00Z,2012-05-28T08:36:01Z,,,
2012-05-28T03:00:00Z,2012-05-28T08:46:01Z,,,
2012-05-28T03:10:00Z,2012-05-28T08:56:01Z,,,
2012-05-28T03:19:59Z,2012-05-28T09:06:00Z,,,
2012-05-28T03:29:59Z,2012-05-28T09:16:00Z,,,
2012-05-28T03:39:59Z,2012-05-28T09:26:00Z,,,
2012-05-28T03:50:00Z,2012-05-28T09:36:01Z,,,
2012-05-28T04:00:00Z,2012-05-28T09:46:01Z,,,
2012-05-28T04:10:00Z,2012-05-28T09:56:01Z,,,
2012-05-28T04:20:00Z,2012-05-28T10:06:01Z,,,
2012-05-28T04:30:00Z,2012-05-28T10:16:01Z,,,
2012-05-28T04:40:00Z,2012-05-28T10:26:01Z,,,
2012-05-28T04:49:59Z,2012-05-28T10:36:00Z,,,
2012-05-28T04:59:59Z,2012-05-28T10:46:00Z,,,
2012-05-28T05:09:59Z,2012-05-28T10:56:00Z,,,
2012-05-28T05:20:00Z,2012-05-28T11:06:01Z,,,
2012-05-28T05:30:00Z,2012-05-28T11:16:01Z,,,
2012-05-28T05:40:00Z,2012-05-28T11:26:01Z,,,
2012-05-28T05:50:00Z,2012-05-28T11:36:01Z,,,
2012-05-28T06:00:00Z,2012-05-28T11:46:01Z,,,
2012-05-28T06:10:00Z,2012-05-28T11:56:01Z,,,
2012-05-28T06:19:59Z,2012-05-28T12:06:00Z,,,
2012-05-28T06:29:59Z,2012-05-28T12:16:00Z,,,
2012-05-28T06:39:59Z,2012-05-28T12:26:00Z,,,
2012-05-28T06:50:00Z,2012-05-28T12:36:01Z,,,
2012-05-28T07:00:00Z,2012-05-28T12:46:01Z,,,
2012-05-28T07:10:00Z,2012-05-28T12:56:01Z,,,
2012-05-28T07:20:00Z,2012-05-28T13:06:01Z,,,
2012-05-28T07:30:00Z,2012-05-28T13:16:01Z,,,
2012-05-28T07:40:00Z,2012-05-28T13:26:01Z,,,
2012-05-28T07:49:59Z,2012-05-28T13:36:00Z,,,
2012-05-28T07:59:59Z,2012-05-28T13:46:00Z,,,
2012-05-28T08:09:59Z,2012-05-28T13:56:00Z,,,
2012-05-28T08:20:00Z,2012-05-28T14:06:01Z,,,
2012-05-28T08:30:00Z,2012-05-28T14:16:01Z,,,
2012-05-28T08:40:00Z,2012-05-28T14:26:01Z,,,
2012-05-28T08:50:00Z,2012-05-28T14:36:01Z,,,
2012-05-28T09:00:00Z,2012-05-28T14:46:01Z,,,
2012-05-28T09:10:00Z,2012-05-28T14:56:01Z,,,
2012-05-28T09:19:59Z,2012-05-28T15:06:00Z,,,
2012-05-28T09:29:59Z,2012-05-28T15:16:00Z,,,
2012-05-28T09:39:59Z,2012-05-28T15:26:00Z,,,
2012-05-28T09:50:00Z,2012-05-28T15:36:01Z,,,
2012-05-28T10:00:00Z,2012-05-28T15:46:01Z,,,
2012-05-28T10:10:00Z,2012-05-28T15:56:01Z,,,
2012-05-28T10:20:00Z,2012-05-28T16:06:01Z,,,
2012-05-28T10:30:00Z,2012-05-28T16:16:01Z,,,
2012-05-28T10:40:00Z,2012-05-28T16:26:01Z,,,
2012-05-28T10:49:59Z,2012-05-28T16:36:00Z,,,
2012-05-28T10:59:59Z,2012-05-28T16:46:00Z,,,
2012-05-28T11:09:59Z,2012-05-28T16:56:00Z,,,
2012-05-28T11:20:00Z,2012-05-28T17:06:01Z,,,
2012-05-28T11:30:00Z,2012-05-28T17:16:01Z,,,
2012-05-28T11:40:00Z,2012-05-28T17:26:01Z,,,
