TIMESTAMP,solar_TIMESTAMP,ESP_RIN_Qpy_Jt_1,ESP_RIN_Qpy_Jt_2,ESP_RIN_Qpy_Jt_3,ESP_RIN_Qpy_Jt_4,ESP_RIN_Qpy_Jt_5,ESP_RIN_Qpy_Jt_6,ESP_RIN_Qpy_Jt_7,ESP_RIN_Qpy_Jt_8
2007-06-07T13:00:00Z,2007-06-07T12:36:31Z,,,,,,,,
2007-06-07T14:00:00Z,2007-06-07T13:36:31Z,,,,,,,,
2007-06-07T15:00:00Z,2007-06-07T14:36:31Z,,,,,,,,
2007-06-07T16:00:00Z,2007-06-07T15:36:31Z,,,,,,,,
2007-06-07T17:00:00Z,2007-06-07T16:36:31Z,,,,,,,,
2007-06-07T18:00:00Z,2007-06-07T17:36:31Z,,,,,,,,
2007-06-07T19:00:00Z,2007-06-07T18:36:31Z,,,,,,,,
2007-06-07T20:00:00Z,2007-06-07T19:36:31Z,,,,,,,,
2007-06-07T21:00:00Z,2007-06-07T20:36:31Z,,,,,,,,
2007-06-07T22:00:00Z,2007-06-07T21:36:31Z,,,,,,,,
2007-06-07T23:00:00Z,2007-06-07T22:36:31Z,,,,,,,,
2007-06-08T00:00:00Z,2007-06-07T23:36:31Z,,,,,,,,
2007-06-08T01:00:00Z,2007-06-08T00:36:20Z,,,,,,,,
2007-06-08T02:00:00Z,2007-06-08T01:36:20Z,,,,,,,,
2007-06-08T03:00:00Z,2007-06-08T02:36:20Z,,,,,,,,
2007-06-08T04:00:00Z,2007-06-08T03:36:20Z,,,,,,,,
2007-06-08T05:00:00Z,2007-06-08T04:36:20Z,,,,,,,,
2007-06-08T06:00:00Z,2007-06-08T05:36:20Z,,,,,,,,
2007-06-08T07:00:00Z,2007-06-08T06:36:20Z,,,,,,,,
2007-06-08T08:00:00Z,2007-06-08T07:36:20Z,,,,,,,,
2007-06-08T09:00:00Z,2007-06-08T08:36:20Z,,,,,,,,
2007-06-08T10:00:00Z,2007-06-08T09:36:20Z,,,,,,,,
2007-06-08T11:00:00Z,2007-06-08T10:36:20Z,,,,,,,,
2007-06-08T12:00:00Z,2007-06-08T11:36:20Z,,,,,,,,
2007-06-08T13:00:00Z,2007-06-08T12:36:20Z,,,,,,,,
2007-06-08T14:00:00Z,2007-06-08T13:36:20Z,,,,,,,,
2007-06-08T15:00:00Z,2007-06-08T14:36:20Z,,,,,,,,
2007-06-08T16:00:00Z,2007-06-08T15:36:20Z,,,,,,,,
2007-06-08T17:00:00Z,2007-06-08T16:36:20Z,,,,,,,,
2007-06-08T18:00:00Z,2007-06-08T17:36:20Z,,,,,,,,
2007-06-08T19:00:00Z,2007-06-08T18:36:20Z,,,,,,,,
2007-06-08T20:00:00Z,2007-06-08T19:36:20Z,,,,,,,,
2007-06-08T21:00:00Z,2007-06-08T20:36:20Z,,,,,,,,
2007-06-08T22:00:00Z,2007-06-08T21:36:20Z,,,,,,,,
2007-06-08T23:00:00Z,2007-06-08T22:36:20Z,,,,,,,,
