TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,netrad,ws,precip,ext_rad
2015-03-05T23:50:00Z,2015-03-05T17:10:43Z,,,,,,,CALCULATED
2015-03-06T00:00:00Z,2015-03-05T17:20:43Z,,,,,,,CALCULATED
2015-03-06T00:10:00Z,2015-03-05T17:30:43Z,,,,,,,CALCULATED
2015-03-06T00:20:00Z,2015-03-05T17:40:43Z,,,,,,,CALCULATED
2015-03-06T00:30:00Z,2015-03-05T17:50:43Z,,,,,,,CALCULATED
2015-03-06T00:40:00Z,2015-03-05T18:00:43Z,,,,,,,CALCULATED
2015-03-06T00:50:00Z,2015-03-05T18:10:43Z,,,,,,,CALCULATED
2015-03-06T01:00:00Z,2015-03-05T18:20:43Z,,,,,,,CALCULATED
2015-03-06T01:10:00Z,2015-03-05T18:30:43Z,,,,,,,CALCULATED
2015-03-06T01:20:00Z,2015-03-05T18:40:43Z,,,,,,,CALCULATED
2015-03-06T01:30:00Z,2015-03-05T18:50:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T01:40:00Z,2015-03-05T19:00:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T01:50:00Z,2015-03-05T19:10:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T02:00:00Z,2015-03-05T19:20:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T02:10:00Z,2015-03-05T19:30:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T02:20:00Z,2015-03-05T19:40:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T02:30:00Z,2015-03-05T19:50:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T02:40:00Z,2015-03-05T20:00:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T02:50:00Z,2015-03-05T20:10:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T03:00:00Z,2015-03-05T20:20:43Z,,,,,,,CALCULATED
2015-03-06T03:10:00Z,2015-03-05T20:30:43Z,,,,,,,CALCULATED
2015-03-06T03:20:00Z,2015-03-05T20:40:43Z,,,,,,,CALCULATED
2015-03-06T03:30:00Z,2015-03-05T20:50:43Z,,,,,,,CALCULATED
2015-03-06T03:40:00Z,2015-03-05T21:00:43Z,,,,,,,CALCULATED
2015-03-06T03:50:00Z,2015-03-05T21:10:43Z,,,,,,,CALCULATED
2015-03-06T04:00:00Z,2015-03-05T21:20:43Z,,,,,,,CALCULATED
2015-03-06T04:10:00Z,2015-03-05T21:30:43Z,,,,,,,CALCULATED
2015-03-06T04:20:00Z,2015-03-05T21:40:43Z,,,,,,,CALCULATED
2015-03-06T04:30:00Z,2015-03-05T21:50:43Z,,,,,,,CALCULATED
2015-03-06T04:40:00Z,2015-03-05T22:00:43Z,,,,,,,CALCULATED
