TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,sw_in,ext_rad
2011-01-05T15:00:00Z,2011-01-05T09:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T15:30:00Z,2011-01-05T10:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T16:00:00Z,2011-01-05T10:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T16:30:00Z,2011-01-05T11:25:23Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-05T17:00:00Z,2011-01-05T11:55:23Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-05T17:30:00Z,2011-01-05T12:25:23Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-05T18:00:00Z,2011-01-05T12:55:23Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-05T18:30:00Z,2011-01-05T13:25:23Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-05T19:00:00Z,2011-01-05T13:55:23Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-05T19:30:00Z,2011-01-05T14:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T20:00:00Z,2011-01-05T14:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T20:30:00Z,2011-01-05T15:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T21:00:00Z,2011-01-05T15:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T21:30:00Z,2011-01-05T16:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T22:00:00Z,2011-01-05T16:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T22:30:00Z,2011-01-05T17:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T23:00:00Z,2011-01-05T17:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T23:30:00Z,2011-01-05T18:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T00:00:00Z,2011-01-05T18:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T00:30:00Z,2011-01-05T19:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T01:00:00Z,2011-01-05T19:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T01:30:00Z,2011-01-05T20:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T02:00:00Z,2011-01-05T20:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T02:30:00Z,2011-01-05T21:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T03:00:00Z,2011-01-05T21:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T03:30:00Z,2011-01-05T22:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T04:00:00Z,2011-01-05T22:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T04:30:00Z,2011-01-05T23:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T05:00:00Z,2011-01-05T23:55:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T05:30:00Z,2011-01-06T00:25:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T06:00:00Z,2011-01-06T00:55:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T06:30:00Z,2011-01-06T01:25:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T07:00:00Z,2011-01-06T01:55:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T07:30:00Z,2011-01-06T02:25:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T08:00:00Z,2011-01-06T02:55:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T08:30:00Z,2011-01-06T03:25:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T09:00:00Z,2011-01-06T03:55:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T09:30:00Z,2011-01-06T04:25:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T10:00:00Z,2011-01-06T04:55:00Z,,,,,,,,CALCULATED,CALCULATED
2011-01-06T10:30:00Z,2011-01-06T05:25:00Z,,,,,,,,CALCULATED,CALCULATED
