TIMESTAMP,solar_TIMESTAMP,SWE_SKO_MIN_Pab_Jt_1,SWE_SKO_MIN_Pab_Jt_2,SWE_SKO_MIN_Pab_Jt_3,SWE_SKO_MIN_Pab_Jt_4,SWE_SKO_MIN_Pab_Jt_5,SWE_SKO_MIN_Pab_Jt_6,SWE_SKO_MIN_Pab_Jt_7,SWE_SKO_MIN_Pab_Jt_8,SWE_SKO_MIN_Pab_Jt_9,SWE_SKO_MIN_Pab_Jt_10,SWE_SKO_MIN_Pab_Jt_11
2015-01-03T08:00:00Z,2015-01-03T08:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T08:30:00Z,2015-01-03T09:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T09:00:00Z,2015-01-03T09:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T09:30:00Z,2015-01-03T10:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T10:00:00Z,2015-01-03T10:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T10:30:00Z,2015-01-03T11:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T11:00:00Z,2015-01-03T11:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T11:30:00Z,2015-01-03T12:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T12:00:00Z,2015-01-03T12:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T12:30:00Z,2015-01-03T13:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T13:00:00Z,2015-01-03T13:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T13:30:00Z,2015-01-03T14:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T14:00:00Z,2015-01-03T14:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T14:30:00Z,2015-01-03T15:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T15:00:00Z,2015-01-03T15:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T15:30:00Z,2015-01-03T16:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T16:00:00Z,2015-01-03T16:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
