TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,ws,precip,swc_shallow,sw_in,vpd,ext_rad
2008-06-17T15:30:00Z,2008-06-17T17:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T16:00:00Z,2008-06-17T17:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T16:30:00Z,2008-06-17T18:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T17:00:00Z,2008-06-17T18:47:21Z,,,NA_PRESENT,,OUT_WARN,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T17:30:00Z,2008-06-17T19:17:21Z,,,NA_PRESENT,,OUT_WARN,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T18:00:00Z,2008-06-17T19:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T18:30:00Z,2008-06-17T20:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T19:00:00Z,2008-06-17T20:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T19:30:00Z,2008-06-17T21:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T20:00:00Z,2008-06-17T21:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T20:30:00Z,2008-06-17T22:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T21:00:00Z,2008-06-17T22:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T21:30:00Z,2008-06-17T23:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T22:00:00Z,2008-06-17T23:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T22:30:00Z,2008-06-18T00:17:09Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T23:00:00Z,2008-06-18T00:47:09Z,,,NA_PRESENT,,OUT_WARN,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T23:30:00Z,2008-06-18T01:17:09Z,,,NA_PRESENT,,OUT_WARN,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-18T00:00:00Z,2008-06-18T01:47:09Z,,,NA_PRESENT,,OUT_WARN,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-18T00:30:00Z,2008-06-18T02:17:09Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-18T01:00:00Z,2008-06-18T02:47:09Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-18T01:30:00Z,2008-06-18T03:17:09Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-18T02:00:00Z,2008-06-18T03:47:09Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
