TIMESTAMP,solar_TIMESTAMP,RUS_CHE_LOW_Lca_Jt_1,RUS_CHE_LOW_Lca_Jt_2,RUS_CHE_LOW_Lca_Jt_3,RUS_CHE_LOW_Lca_Jt_4,RUS_CHE_LOW_Lca_Jt_5,RUS_CHE_LOW_Lca_Jt_6,RUS_CHE_LOW_Lca_Jt_7,RUS_CHE_LOW_Lca_Jt_8,RUS_CHE_LOW_Lca_Jt_9,RUS_CHE_LOW_Lca_Jt_10,RUS_CHE_LOW_Lca_Jt_11,RUS_CHE_LOW_Lca_Jt_12
2016-07-02T22:30:00Z,2016-07-03T09:11:29Z,NA_PRESENT,,,,,,,,NA_PRESENT,,,
2016-07-02T23:00:00Z,2016-07-03T09:41:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-02T23:30:00Z,2016-07-03T10:11:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T00:00:00Z,2016-07-03T10:41:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T00:30:00Z,2016-07-03T11:11:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T01:00:00Z,2016-07-03T11:41:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T01:30:00Z,2016-07-03T12:11:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T02:00:00Z,2016-07-03T12:41:29Z,,,,,,,,,,NA_PRESENT,,
2016-07-03T02:30:00Z,2016-07-03T13:11:29Z,,,,,,,,,,NA_PRESENT,,
2016-07-03T03:00:00Z,2016-07-03T13:41:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T03:30:00Z,2016-07-03T14:11:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T04:00:00Z,2016-07-03T14:41:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T04:30:00Z,2016-07-03T15:11:29Z,,,,,,,,,NA_PRESENT,NA_PRESENT,,
2016-07-03T05:00:00Z,2016-07-03T15:41:29Z,,,,,,,,,,NA_PRESENT,,
2016-07-03T05:30:00Z,2016-07-03T16:11:29Z,,NA_PRESENT,,,,,,,,NA_PRESENT,,
2016-07-03T06:00:00Z,2016-07-03T16:41:29Z,,,,,,,,,,NA_PRESENT,,
2016-07-03T06:30:00Z,2016-07-03T17:11:29Z,,,,,,,,,,NA_PRESENT,,
2016-07-03T07:00:00Z,2016-07-03T17:41:29Z,,,,,,,,,,NA_PRESENT,,
2016-07-03T07:30:00Z,2016-07-03T18:11:29Z,,NA_PRESENT,,,,,,,,,,
2016-07-03T08:00:00Z,2016-07-03T18:41:29Z,,,,,,,,,,,NA_PRESENT,
2016-07-03T08:30:00Z,2016-07-03T19:11:29Z,,,,,,,,,,,NA_PRESENT,
2016-07-03T09:00:00Z,2016-07-03T19:41:29Z,,,,,,,,,,,NA_PRESENT,NA_PRESENT
2016-07-03T09:30:00Z,2016-07-03T20:11:29Z,,,,,,,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-03T10:00:00Z,2016-07-03T20:41:29Z,NA_PRESENT,,,,,,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-03T10:30:00Z,2016-07-03T21:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-03T11:00:00Z,2016-07-03T21:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
