TIMESTAMP,solar_TIMESTAMP,GUF_NOU_PET_Qro_Js_1,GUF_NOU_PET_Qro_Js_2,GUF_NOU_PET_Dgu_Js_3,GUF_NOU_PET_Dgu_Js_4,GUF_NOU_PET_Dgu_Js_5,GUF_NOU_PET_Lal_Js_6,GUF_NOU_PET_Lal_Js_7,GUF_NOU_PET_Sru_Js_8,GUF_NOU_PET_Lpo_Js_9,GUF_NOU_PET_Lro_Js_10,GUF_NOU_PET_Qtr_Js_11,GUF_NOU_PET_Qtr_Js_12,GUF_NOU_PET_Qro_Js_13,GUF_NOU_PET_Dgu_Js_14,GUF_NOU_PET_Dgu_Js_15,GUF_NOU_PET_Ggl_Js_16,GUF_NOU_PET_Lpo_Js_17,GUF_NOU_PET_Eco_Js_18,GUF_NOU_PET_Eco_Js_19,GUF_NOU_PET_Eco_Js_20,GUF_NOU_PET_Lal_Js_21,GUF_NOU_PET_Vam_Js_22
2015-09-16T17:00:00Z,2015-09-16T13:36:01Z,13.03609975,4.16400407,17.27746546,17.97708692,NA,7.47491663,5.15066151,2.63623054,3.95876861,11.64605383,8.08636509,10.223032490000001,10.097020360000002,0.21729178999999998,13.912388980000001,5.664340020000001,12.5268616,7.54119255,9.42698774,6.1838434200000005,11.74077566,13.98088869
2015-09-16T17:30:00Z,2015-09-16T14:06:01Z,12.53171623,3.9309983400000004,16.56337466,17.137453540000003,NA,7.2205457200000005,5.039732130000001,2.7027847400000002,3.95876861,11.64605383,8.08636509,10.069520540000001,9.48850668,0.21729178999999998,13.01848176,5.46564005,12.37470089,7.24070761,9.188963970000001,6.0377293100000005,11.413365390000001,13.11237582
2015-09-16T18:00:00Z,2015-09-16T14:36:01Z,12.36635277,3.8545049700000003,16.33003298,17.137453540000003,NA,6.847170160000001,4.7131592,2.50481986,3.95876861,11.64605383,7.96050901,9.76645308,9.192151,0.21729178999999998,12.372635850000002,5.07767234,12.2236937,7.04376489,9.188963970000001,6.0377293100000005,11.413365390000001,12.44293364
2015-09-16T18:30:00Z,2015-09-16T15:06:01Z,12.202351310000001,3.8545049700000003,16.09899117,17.137453540000003,NA,6.483432390000001,4.50056915,2.83759186,3.95876861,11.485951300000002,7.96050901,9.76645308,9.192151,0.16458507,12.372635850000002,4.98262283,12.5268616,6.849492100000001,9.30755616,5.96527853,11.413365390000001,12.27899331
2015-09-16T19:00:00Z,2015-09-16T15:36:01Z,11.55973064,3.40776799,14.759610910000001,16.59345794,NA,5.89810447,3.5935534400000004,2.43996331,3.7354084600000004,11.32718154,7.711850320000001,9.46858764,8.75725112,0.21729178999999998,11.747075090000001,4.33863175,12.37470089,6.46884235,9.07120563,5.89322982,11.0915009,11.32317925
2015-09-16T19:30:00Z,2015-09-16T16:06:01Z,11.0915009,3.05134184,13.09207093,15.80028661,NA,5.78411448,3.5935534400000004,2.06272596,3.5892874399999997,11.0135948,7.58903357,9.32157883,7.92112514,0.27283103000000003,10.94339824,3.90110672,11.77750119,6.190156160000001,8.60840211,5.75033246,10.464027280000002,10.8626595
2015-09-16T20:00:00Z,2015-09-16T16:36:01Z,9.75436283,2.57631156,10.82196982,13.811816020000002,NA,5.448183610000001,3.2159984500000003,2.12417904,3.30368151,10.10366568,6.75691913,8.74612757,6.376561670000001,0.33090233,9.43482735,3.15959219,10.22573755,5.30213367,7.1918454,5.1945266,8.42929014,9.83122788
2015-09-16T20:30:00Z,2015-09-16T17:06:01Z,6.99577355,1.37337448,7.1448404100000005,9.55207928,NA,4.39214645,2.3395601,1.31637657,2.24868406,8.14995026,5.0273948,7.39218784,3.65566945,0.39128702000000004,6.3281446400000005,1.78453032,7.37174548,3.5591868499999997,4.81471897,3.8515746,5.46564005,7.56041733
2015-09-16T21:00:00Z,2015-09-16T17:36:01Z,6.29261316,1.37337448,5.6591097,7.92305832,NA,4.093937970000001,2.25718889,1.82262725,1.54914288,7.132606010000001,4.24744322,6.758459000000001,2.654122,0.45381892,5.20026478,1.1657517000000002,6.38512049,2.8581723300000004,3.7441984400000003,3.4399891,4.507497570000001,6.832405850000001
2015-09-16T21:30:00Z,2015-09-16T18:06:01Z,4.88774609,0.86130751,4.56096914,5.992065180000001,NA,3.7093475300000005,1.70759561,1.0561529200000002,1.02838473,6.06801013,3.43415374,6.0341779,1.84316991,0.45381892,4.0475791899999995,0.8316003200000002,5.270094670000001,2.09010885,2.7100398500000002,2.77518428,3.5333249100000006,5.80711925
2015-09-16T22:00:00Z,2015-09-16T18:36:01Z,3.5459142000000003,0.50017869,3.5624514400000002,4.44223727,NA,3.15993857,1.27485991,0.67340199,0.56960732,5.18898964,2.4522733,5.12740342,1.12883563,0.45381892,2.6918652400000003,0.5283519,3.81581179,1.34880021,1.73564297,2.0158421900000003,2.4852749800000002,4.75716706
2015-09-16T22:30:00Z,2015-09-16T19:06:01Z,2.7724759500000005,0.33856116000000003,2.95012045,3.43785831,NA,2.6430491700000003,1.13876139,0.54150256,0.36715627,4.56946455,1.7918660100000001,4.48981263,0.63267388,0.45381892,1.89979974,0.34587633000000007,2.84872908,0.94170263,1.21848873,1.5541281,1.6388333700000002,3.8886448199999997
2015-09-16T23:00:00Z,2015-09-16T19:36:01Z,2.21808822,0.22734527999999998,2.65967508,2.86047427,NA,2.3163922400000003,1.0068900299999999,0.49908031,0.25609229,4.17479813,1.51952489,4.18427312,0.46628355,0.45381892,1.45048043,0.26157832000000003,2.40380069,0.7532772900000001,0.9542426300000001,1.29464135,1.49684905,3.3484344700000004
2015-09-16T23:30:00Z,2015-09-16T20:06:01Z,1.9198221100000001,0.19249209,2.37965445,2.42599484,NA,2.08082022,0.8793760600000001,0.45747001000000004,0.15453927,3.88824743,1.32403704,3.98540717,0.36224247,0.45381892,1.03776242,0.18273246,2.05259869,0.57581377,0.7555129100000001,1.0888079400000001,1.3586277500000001,3.0897444700000003
2015-09-17T00:00:00Z,2015-09-16T20:36:01Z,1.49803657,0.12670520999999998,1.9361579800000002,2.0158421900000003,NA,1.70628094,0.7563855700000001,0.49908031,0.12323308,3.51860253,1.07543104,3.50491424,0.31250573000000004,0.45381892,0.8087681800000001,0.14567003,1.78453032,0.49151248000000003,0.61436851,0.97000634,1.0937473000000002,2.67533632
2015-09-17T00:30:00Z,2015-09-16T21:06:01Z,1.23434744,0.12670520999999998,1.5220040600000002,1.63023372,NA,1.42318282,0.58086782,0.33782296,0.0934568,3.0762618,0.8983627500000001,3.1374595800000002,0.17383442000000002,0.45381892,0.46162745000000005,0.07733878,1.46580598,0.37112168,0.48054356000000004,0.8173033000000001,0.78536271,2.28176484
2015-09-17T01:00:00Z,2015-09-16T21:36:01Z,1.1079284200000001,0.12670520999999998,1.44276094,1.53772404,NA,1.42318282,0.58086782,0.37680536000000003,0.0934568,3.0762618,0.84120002,3.1374595800000002,0.17383442000000002,0.45381892,0.52731188,0.04685529,1.28348708,0.25884368,0.39573983,0.7072299200000001,0.66954882,2.20555119
2015-09-17T01:30:00Z,2015-09-16T22:06:01Z,1.0461114800000002,0.09608535000000001,1.28793972,1.53772404,NA,1.42318282,0.52489954,0.29979879000000004,0.06546675,3.0762618,0.84120002,3.2279222300000003,0.17383442000000002,0.39128702000000004,0.52731188,0.04685529,1.22423356,0.2234542,0.31480794,0.63606586,0.78536271,2.28176484
2015-09-17T02:00:00Z,2015-09-16T22:36:01Z,0.86639433,0.040786760000000005,1.13809475,1.2697451100000001,NA,1.22075687,0.36533193,0.22685219,0.01687856,2.82127206,0.7849961200000001,2.9593240000000005,0.17383442000000002,0.39128702000000004,0.39800083000000003,0.01992725,1.1080498300000001,0.18920325000000002,0.27591868,0.60117315,0.66954882,2.05563222
2015-09-17T02:30:00Z,2015-09-16T23:06:01Z,0.69564919,0.01735079,0.9229643700000001,1.18366345,NA,1.0270954700000001,0.26667252,0.29979879000000004,0,2.4933663,0.67554966,2.69907243,0.09222299,0.39128702000000004,0.33656424,0.01992725,0.9397214200000001,0.15619094,0.20163833000000003,0.53281378,0.5046163800000001,1.83705322
2015-09-17T03:00:00Z,2015-09-16T23:36:01Z,0.43524407,0.06687241000000001,0.84850424,0.6411466100000001,NA,0.90050273,0.46365407999999997,0.30110928000000003,0.09267410000000001,1.2418896400000001,0.37697007000000005,1.0463974900000002,0.17238758,0.11670471,0.52013443,0.07696735,0.6826287200000001,0.32778662000000003,0.23709682,0.28326611,0.7148833200000001,1.2480704200000001
2015-09-17T03:30:00Z,2015-09-17T00:06:01Z,0.38606224,0.06687241000000001,0.65106204,0.49725936,NA,0.7809840600000001,0.36020903000000004,0.22784031,0.09267410000000001,1.0447514800000002,0.28499316,0.8491375800000001,0.17238758,0.11670471,0.39261329,0.04663071,0.58231445,0.25500654,0.20073355,0.22557921,0.6032745300000001,1.0576634200000001
2015-09-17T04:00:00Z,2015-09-17T00:36:23Z,0.29183711,0.06687241000000001,0.52681681,0.42863004000000005,NA,0.6658327100000001,0.31075547000000003,0.26393346,0.0649194,0.91848355,0.19901981000000002,0.6628080700000001,0.09145886,0.11670471,0.33202084,0.04663071,0.43926241,0.22014737000000004,0.13211023,0.17084464,0.39448381000000005,0.75973912
2015-09-17T04:30:00Z,2015-09-17T01:06:23Z,0.20377851,0.04052518,0.4090282700000001,0.36238851,NA,0.55528632,0.26295005,0.19291049000000002,0.0649194,0.7371829000000001,0.1586263,0.54509858,0.09145886,0.11670471,0.27375072,0.04663071,0.34928971000000003,0.15388744000000001,0.10017671,0.11951777,0.29817515,0.64779997
2015-09-17T05:00:00Z,2015-09-17T01:36:23Z,0.162411,0.04052518,0.29840612000000005,0.29871459,NA,0.44965995000000003,0.17286743000000002,0.19291049000000002,0.039343640000000006,0.5662218600000001,0.1586263,0.48833251000000005,0.0553904,0.07063739000000001,0.16513685,0.019831920000000003,0.26414947,0.12271418,0.07016549,0.09534414000000001,0.25232834,0.54031344
2015-09-17T05:30:00Z,2015-09-17T02:06:23Z,0.12310298,0.0172397,0.24610437,0.29871459,NA,0.39882053000000006,0.13101067,0.12697965,0.039343640000000006,0.51169484,0.12024032000000001,0.37928976000000003,0.0553904,0.07063739000000001,0.21802226000000002,0.019831920000000003,0.22359108000000003,0.09306396,0.07016549,0.09534414000000001,0.20818467,0.48833251000000005
