TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ppfd_in,precip,swc_shallow,rh,ext_rad
2001-04-19T21:00:00Z,2001-04-19T20:45:50Z,,,,RANGE_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T21:30:00Z,2001-04-19T21:15:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T22:00:00Z,2001-04-19T21:45:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T22:30:00Z,2001-04-19T22:15:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T23:00:00Z,2001-04-19T22:45:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T23:30:00Z,2001-04-19T23:15:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T00:00:00Z,2001-04-19T23:45:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T00:30:00Z,2001-04-20T00:16:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T01:00:00Z,2001-04-20T00:46:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T01:30:00Z,2001-04-20T01:16:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T02:00:00Z,2001-04-20T01:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T02:30:00Z,2001-04-20T02:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T03:00:00Z,2001-04-20T02:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T03:30:00Z,2001-04-20T03:16:02Z,,,,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-20T04:00:00Z,2001-04-20T03:46:02Z,,,,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-20T04:30:00Z,2001-04-20T04:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T05:00:00Z,2001-04-20T04:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T05:30:00Z,2001-04-20T05:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T06:00:00Z,2001-04-20T05:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T06:30:00Z,2001-04-20T06:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T07:00:00Z,2001-04-20T06:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T07:30:00Z,2001-04-20T07:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T08:00:00Z,2001-04-20T07:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T08:30:00Z,2001-04-20T08:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T09:00:00Z,2001-04-20T08:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T09:30:00Z,2001-04-20T09:16:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T10:00:00Z,2001-04-20T09:46:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T10:30:00Z,2001-04-20T10:16:02Z,,,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T11:00:00Z,2001-04-20T10:46:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T11:30:00Z,2001-04-20T11:16:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T12:00:00Z,2001-04-20T11:46:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T12:30:00Z,2001-04-20T12:16:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T13:00:00Z,2001-04-20T12:46:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T13:30:00Z,2001-04-20T13:16:02Z,,,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T14:00:00Z,2001-04-20T13:46:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
