site,src,mode_min,pct_mode,common_steps,min_step,max_gap_hr,n,start,end,regular
IDN_JAM_RUB,env,60,100.0,60,60,1.0,5376,2013-06-12 17:00:00+00:00,2014-01-22 16:00:00+00:00,True
PRT_LEZ_ARN,sapf,60,44.86,0|1|59|60,0,1.0,28944,2007-01-31 01:00:00+00:00,2009-01-01 00:00:00+00:00,False
SEN_SOU_IRR,env,60,100.0,60,60,1.0,1464,1998-08-01 00:00:00+00:00,1998-09-30 23:00:00+00:00,True
SEN_SOU_POS,sapf,60,100.0,60,60,1.0,11712,1998-10-01 00:00:00+00:00,2000-01-31 23:00:00+00:00,True
SEN_SOU_PRE,sapf,60,100.0,60,60,1.0,21216,1996-02-29 00:00:00+00:00,1998-07-31 23:00:00+00:00,True
USA_INM,env,60,99.98,60,60,169.0,14957,1998-04-08 01:00:00+00:00,2000-01-01 04:00:00+00:00,True
USA_TNB,env,60,99.98,60,60,74.0,13137,1998-05-28 12:00:00+00:00,1999-11-30 19:00:00+00:00,True
USA_TNO,env,60,99.96,60,60,54.0,15173,1998-03-31 14:00:00+00:00,2000-01-01 04:00:00+00:00,True
USA_TNP,env,60,99.91,60,60,138.0,15712,1998-02-28 05:00:00+00:00,2000-01-01 04:00:00+00:00,True
USA_TNY,env,60,99.91,60,60,322.0,12595,1998-05-15 14:00:00+00:00,1999-11-21 17:00:00+00:00,True
USA_WVF,env,60,99.92,60,60,256.0,14518,1998-03-25 15:00:00+00:00,2000-01-01 04:00:00+00:00,True
ZAF_FRA_FRA,sapf,60,37.85,0|1|59|60,0,1.0,17464,2015-02-02 22:00:00+00:00,2016-02-29 21:00:00+00:00,False
ZAF_NOO_E3_IRR,sapf,60,99.99,60,60,1.0,19225,2008-05-15 22:00:00+00:00,2010-07-25 22:01:00+00:00,True
ZAF_SOU_SOU,env,60,100.0,60,60,1.0,6576,2015-09-30 22:00:00+00:00,2016-06-30 21:00:00+00:00,True
